name,address,photo,details_url,page_src_url,extracted_at
Armazém Du Chefe,"Rua Rodolfo Chermont, 1493 - Marambaia, Belém - PA",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/02/25094409/armazemduchefe_bolinhodecupimcomtuiledejambu_belem_2026_brunomenezes_3.jpg,https://comidadibuteco.com.br/buteco/armazem-du-chefe/,https://comidadibuteco.com.br/butecos/belem/,2026-05-02 11:49:40
Barão Bistro,"Av. Marquês de Herval, 1405 | Pedreira, Belém - PA",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/02/25094411/baraobistro_farofaamazonica_belem_2026_brunomenezes_15.jpg,https://comidadibuteco.com.br/buteco/barao-bistro/,https://comidadibuteco.com.br/butecos/belem/,2026-05-02 11:49:40
Boteco do Bacú,"Rua Triunvirato, 303 | Cidade Velha, Belém - PA",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/02/25094412/botecodobacu_bolinhodatiajo_belem_2026_brunomenezes_11.jpg,https://comidadibuteco.com.br/buteco/boteco-do-bacu/,https://comidadibuteco.com.br/butecos/belem/,2026-05-02 11:49:40
Caldos & Cia Bar e Restaurante,"Avenida Marquês de Herval, 1364 | Pedreira, Belém - PA",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/02/25094414/caldosecia_eguadosertao_belem_2026_brunomenezes_3.jpg,https://comidadibuteco.com.br/buteco/24713-revision-v1/,https://comidadibuteco.com.br/butecos/belem/,2026-05-02 11:49:40
Cervejaria Uriboca,"R. Bernal do Couto, 579 | Umarizal, Belém - PA",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/02/25094515/cervejariauriboca_baotonotucupi_belem_2026_brunomenezes_2.jpg,https://comidadibuteco.com.br/buteco/cervejaria-uriboca/,https://comidadibuteco.com.br/butecos/belem/,2026-05-02 11:49:40
Clube do Espeto Grill,"Av. Duque de Caxias, 987 | Marco, Belém - PA",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/02/25094517/clubedoespetogrill_benditocupim_belem2026_brunomenezes_2.jpg,https://comidadibuteco.com.br/buteco/clube-do-espeto-grill/,https://comidadibuteco.com.br/butecos/belem/,2026-05-02 11:49:40
Confraria do Fraga,"R. Veiga Cabral, 439 | Cidade Velha, Belém - PA",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/02/25094519/confrariadofraga_carimbosirimbosirianotucupidotacaca_belem_2026_brunomenezes_2.jpg,https://comidadibuteco.com.br/buteco/confraria-do-fraga/,https://comidadibuteco.com.br/butecos/belem/,2026-05-02 11:49:40
Eguatchê,"Avenida Santarém, 670 | Marambaia, Belém - PA",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/02/25094520/eguatche_amoela_belem_2026_brunomenezes_1.jpg,https://comidadibuteco.com.br/buteco/eguatche/,https://comidadibuteco.com.br/butecos/belem/,2026-05-02 11:49:40
Espetinho do Fabrício,"Trav. Cristóvão Colombo, 1439 | Cruzeiro (Icoaraci), Belém - PA",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/02/12060043/cdb26_kv.png,https://comidadibuteco.com.br/buteco/espetinho-do-fabricio/,https://comidadibuteco.com.br/butecos/belem/,2026-05-02 11:49:40
Flor do Grão Pará,"Travessa Nove de Janeiro, 2233 | Cremação, Belém - PA",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/02/25094628/flordograopara_cestinhodemarinada_belem_2026_brunomenezes_3.jpg,https://comidadibuteco.com.br/buteco/flor-do-grao-para/,https://comidadibuteco.com.br/butecos/belem/,2026-05-02 11:49:40
Kassahara Boteco,"WE 9B, 231 | Coqueiro, Ananindeua - PA",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/02/25094629/kassaharaboteco_bocadejambu_belem_2026_brunomenezes_2.jpg,https://comidadibuteco.com.br/buteco/kassahara-boteco/,https://comidadibuteco.com.br/butecos/belem/,2026-05-02 11:49:40
Manga Pub,"Av. Cmte. Brás de Aguiar, 492 | Nazaré, Belém - PA",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/02/25094631/mangapub_oencontrodedostitas_belem_2026_brunomenezes_3.jpg,https://comidadibuteco.com.br/buteco/manga-pub/,https://comidadibuteco.com.br/butecos/belem/,2026-05-02 11:49:40
O Portuga Gastro Bar,"Travessa WE 16, 172 -Cidade Nova, Ananindeua - PA",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/02/25094633/oportugagastrobar_choquedoportuga_belem_2026_brunomenezes_2.jpg,https://comidadibuteco.com.br/buteco/o-portuga-gastro-bar/,https://comidadibuteco.com.br/butecos/belem/page/2/,2026-05-02 11:49:55
Paladar Gi,"Travessa WE-51, 221 | Coqueiro, Ananindeua - PA",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/02/25094634/paladargi_empanadasbrasileira_belem_2026_brunomenezes_3.jpg,https://comidadibuteco.com.br/buteco/paladar-gi/,https://comidadibuteco.com.br/butecos/belem/page/2/,2026-05-02 11:49:55
Pileque Boteco,"R. Diogo Móia, 947 | Umarizal, Belém - PA",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/02/25094804/pilequeboteco_ragudeporcocompuredemandioquinha_belem_2026_brunomenezes_3-scaled.jpg,https://comidadibuteco.com.br/buteco/pileque-boteco/,https://comidadibuteco.com.br/butecos/belem/page/2/,2026-05-02 11:49:55
Pimenta na Cuia,"Av. Almirante Tamandaré, 123  | Cidade Velha, Belém - PA",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/02/25094806/pimentanacuia_rolinhopaideguadepirarucu_belem_2026_brunomenezes_2.jpg,https://comidadibuteco.com.br/buteco/pimenta-na-cuia/,https://comidadibuteco.com.br/butecos/belem/page/2/,2026-05-02 11:49:55
Potoca Breja e Broca,"Avenida Marquês de Herval, 954 | Pedreira, Belém - PA",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/02/25094808/potocobrejaebroca_cupimdemiriti_belem_2026_brunomenezes_2.jpg,https://comidadibuteco.com.br/buteco/potoca-breja-e-broca/,https://comidadibuteco.com.br/butecos/belem/page/2/,2026-05-02 11:49:55
Quintal Meraki,"Tv. Bom Jardim, 67 | Cidade Velha, Belém - PA",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/02/25094811/quintalmeraki_mareterrafilhotemaracujaealhoporo_belem_2026_brunomenezes_1.jpg,https://comidadibuteco.com.br/buteco/quintal-meraki/,https://comidadibuteco.com.br/butecos/belem/page/2/,2026-05-02 11:49:55
Skina Queen,"Rua do Arsenal, 289 | Cidade Velha, Belém - PA",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/02/25094916/skinaqueen_viagemamazonica_belem_2026_brunomenezes_2.jpg,https://comidadibuteco.com.br/buteco/skina-queen/,https://comidadibuteco.com.br/butecos/belem/page/2/,2026-05-02 11:49:55
Só Porco Torresmo e Cia,"Avenida Marquês de Herval, 1201 | Pedreira, Belém - PA",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/02/25094918/soporco_umporcofritopranos_belem_2026_brunomenezes_1.jpg,https://comidadibuteco.com.br/buteco/so-porco-torresmo-e-cia/,https://comidadibuteco.com.br/butecos/belem/page/2/,2026-05-02 11:49:55
