name,address,photo,details_url,page_src_url,extracted_at
222,"R. Francisco Deslandes, 222 |Belo Horizonte - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09110856/222_buraquimquente_bh_2026_pauloti_unibh-4859.jpg,https://comidadibuteco.com.br/buteco/3100-revision-v1/,https://comidadibuteco.com.br/butecos/belo-horizonte/,2026-05-02 11:50:46
Alexandre’s Bar,"R. David Alves do Vale, 68  | Santa Rosa, Belo Horizonte - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09110859/alexandresbar_porcoamostarda_pauloti_unibh-3271.jpg,https://comidadibuteco.com.br/buteco/alexandres-bar/,https://comidadibuteco.com.br/butecos/belo-horizonte/,2026-05-02 11:50:46
Andrade’s Beer,"R. Dona Geni, 32 | Maria Helena, Belo Horizonte - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09110901/andradesbeer_ossadinhaatolada_bh_2026_rodneycosta_unibh-4615.jpg,https://comidadibuteco.com.br/buteco/andrades-beer/,https://comidadibuteco.com.br/butecos/belo-horizonte/,2026-05-02 11:50:46
Armazém Santa Amélia,"Rua da Sinfonia, 253 | Santa Amélia, Belo Horizonte - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09110903/armazemsantaamelia_chucretedemineiro_bh_2026_rodneycosta_unibh-3650.jpg,https://comidadibuteco.com.br/buteco/armazem-santa-amelia/,https://comidadibuteco.com.br/butecos/belo-horizonte/,2026-05-02 11:50:46
Avalanche Bar e Restaurante,"R. Doutor Álvaro Camargos, 1113 | São Belo Horizonte - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09111005/avalancheespeteria_nopeitonaraiz_bh_2026_pauloti_unibh-4514.jpg,https://comidadibuteco.com.br/buteco/avalanche-bar-e-restaurante/,https://comidadibuteco.com.br/butecos/belo-horizonte/,2026-05-02 11:50:46
Azougue Fogo e Bar,"Rua do Ouro, 835  | Serra, Belo Horizonte - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09111007/azouquefogobar_oncoto_bh_2026_rodneycosta_unibh-4638.jpg,https://comidadibuteco.com.br/buteco/azougue-fogo-e-bar/,https://comidadibuteco.com.br/butecos/belo-horizonte/,2026-05-02 11:50:46
Baiúca,"R. Piauí, 1884 | Funcionários, Belo Horizonte - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09111008/baiuca_pastelpeganoporo_bh_2026_pauloti_unibh-4013.jpg,https://comidadibuteco.com.br/buteco/baiuca/,https://comidadibuteco.com.br/butecos/belo-horizonte/,2026-05-02 11:50:46
Bar Bambú,"R. Divisa Nova, 670 | Belo Horizonte - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09111012/barbambu_tocomnagunamao_bh_2026_isaquerodrigues_unibh-3461.jpg,https://comidadibuteco.com.br/buteco/barbambu/,https://comidadibuteco.com.br/butecos/belo-horizonte/,2026-05-02 11:50:46
Bar Bendita Baderna,"R. Silva Fortes, 47  | União, Belo Horizonte - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09111113/barbenditabaderna_benditaporpeta_bh_2026_pauloti_unibh-5051.jpg,https://comidadibuteco.com.br/buteco/bar-bendita-baderna/,https://comidadibuteco.com.br/butecos/belo-horizonte/,2026-05-02 11:50:46
Bar da Cintia,"R. Pastor Rui Franco, 257 | São João Batista (Venda Nova), Belo Horizonte - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09111115/bardacintia_chuletadescontraida_bh_2026_pauloti_unibh-5257.jpg,https://comidadibuteco.com.br/buteco/bar-da-cintia/,https://comidadibuteco.com.br/butecos/belo-horizonte/,2026-05-02 11:50:46
Bar da Fia,"R. dos Astecas, 2722 | Santa Mônica, Belo Horizonte - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09111117/bardafia_lomboquentecoracaomole_vicentealexandre_unibh-3148.jpg,https://comidadibuteco.com.br/buteco/bar-da-fia/,https://comidadibuteco.com.br/butecos/belo-horizonte/,2026-05-02 11:50:46
Bar da Gisa,"Rua Maria Ferreira da Silva, 367 | Belo Horizonte - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09111119/bardagisa_ajoelhoutemquerezar_giovanaevilyn_unibh-3157.jpg,https://comidadibuteco.com.br/buteco/bar-da-gisa/,https://comidadibuteco.com.br/butecos/belo-horizonte/,2026-05-02 11:50:46
Bar da Lu,"R. Geralda Marinho, 41 | São João Batista (Venda Nova), Belo Horizonte - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09111121/bardalu_popeyemineiro_bh_2026_rodneycosta_unibh-4185.jpg,https://comidadibuteco.com.br/buteco/bar-da-lu/,https://comidadibuteco.com.br/butecos/belo-horizonte/page/2/,2026-05-02 11:50:57
Bar da Praça,"Rua Oeste, 517 | Calafate, Belo Horizonte - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09111222/bardapraca_cadimdenos_bh_2026_pauloti_unibh-4502.jpg,https://comidadibuteco.com.br/buteco/bar-da-praca/,https://comidadibuteco.com.br/butecos/belo-horizonte/page/2/,2026-05-02 11:50:57
Bar da Silvânia,"R. Soares Nogueira, 801 | Camargos, Belo Horizonte - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09111224/bardasilvania_tesourocaipiracomencantodahorta_bh_2026_giovanaevelyn_unibh-3364.jpg,https://comidadibuteco.com.br/buteco/bar-da-silvania/,https://comidadibuteco.com.br/butecos/belo-horizonte/page/2/,2026-05-02 11:50:57
Bar do Bartolomeu,"R. Arthur Luchesi, 356 | Santa Helena (Barreiro), Belo Horizonte - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09111226/bardobartolomeu_triomineirobaodemais_bh_2026_rodneycosta_unibh-4207.jpg,https://comidadibuteco.com.br/buteco/bar-do-bartolomeu/,https://comidadibuteco.com.br/butecos/belo-horizonte/page/2/,2026-05-02 11:50:57
Bar do Bem,"Rua Vicentina Coutinho Camargos, 100 | Álvaro Camargos, Belo Horizonte - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09111228/bardobem_brsileirinhoraiz_bh_2026_rodneycosta_unibh-5080.jpg,https://comidadibuteco.com.br/buteco/bar-do-bem/,https://comidadibuteco.com.br/butecos/belo-horizonte/page/2/,2026-05-02 11:50:57
Bar do Dedinho  (Temporariamente fechado por motivo de Luto),"Avenida Guarapari, 872 | Belo Horizonte - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09111229/bardodedinho_kafteivossamensagem_bh_2026_isabelaaraujo_unibh-3503.jpg,https://comidadibuteco.com.br/buteco/3121-revision-v1/,https://comidadibuteco.com.br/butecos/belo-horizonte/page/2/,2026-05-02 11:50:57
Bar do João (São João Batista),"R. Geralda Marinho, 117 | Belo Horizonte - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09111331/bardojoao_nabocadopovo_bh_2026_rodneycosta_unibh-4472.jpg,https://comidadibuteco.com.br/buteco/3125-revision-v1/,https://comidadibuteco.com.br/butecos/belo-horizonte/page/2/,2026-05-02 11:50:57
Bar do Kim,"Rua Júlio de Castilho, 1071 | Palmeiras, Belo Horizonte - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09111333/bardokim_fraldinhasupreme_bh_2026_pauloti_unibh-4724.jpg,https://comidadibuteco.com.br/buteco/bar-do-kim/,https://comidadibuteco.com.br/butecos/belo-horizonte/page/2/,2026-05-02 11:50:57
Bar do Momô,"Avenida Coronel José Benjamim, 777 | Belo Horizonte - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09111335/bardomomo_esferasuina_rodneycosta_unibh-3114.jpg,https://comidadibuteco.com.br/buteco/3520-revision-v1/,https://comidadibuteco.com.br/butecos/belo-horizonte/page/2/,2026-05-02 11:50:57
Bar do Nelson,"R. Vicente Risola, 1000 | Santa Inês, Belo Horizonte - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09111336/bardonelson_brasileirinho_bh_2026_rodneycosta_unibh-4559.jpg,https://comidadibuteco.com.br/buteco/bar-do-nelson/,https://comidadibuteco.com.br/butecos/belo-horizonte/page/2/,2026-05-02 11:50:57
Bar do Peixinho,"Avenida Bernardo de Vasconcelos, 1824 | Belo Horizonte - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09111338/bardopeixinho_tilapiaroletera_bh_2026_isaquerodrigues_unibh-3830.jpg,https://comidadibuteco.com.br/buteco/bar-do-peixinho/,https://comidadibuteco.com.br/butecos/belo-horizonte/page/2/,2026-05-02 11:50:57
Bar do Primo,"Avenida Amazonas, 4649 | Nova Suíça, Belo Horizonte - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/16114137/whatsapp-image-2026-03-16-at-14.39.03.jpeg,https://comidadibuteco.com.br/buteco/bar-do-primo/,https://comidadibuteco.com.br/butecos/belo-horizonte/page/2/,2026-05-02 11:50:57
Bar do Regis,"R. Gávea, 422 | Jardim América, Belo Horizonte - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09111441/bardoregis_leilaoeevanoparaiso_bh_2026_giovanaevelyn_unibh-3344.jpg,https://comidadibuteco.com.br/buteco/24790-revision-v1/,https://comidadibuteco.com.br/butecos/belo-horizonte/page/3/,2026-05-02 11:51:12
Bar do Tião,"Avenida Doutor Cristiano Guimarães, 2570 | Planalto, Belo Horizonte - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/25074325/tiaovei_2026_belohorizonte.jpg,https://comidadibuteco.com.br/buteco/bar-do-tiao-2/,https://comidadibuteco.com.br/butecos/belo-horizonte/page/3/,2026-05-02 11:51:12
Bar dos Meninos,"Rua Lindolfo Deodoro, 503 - A | Salgado Filho, Belo Horizonte - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09111445/bardosmeninos_acopaenossa_bh_2026_pauloti_unibh-4886.jpg,https://comidadibuteco.com.br/buteco/bar-dos-meninos/,https://comidadibuteco.com.br/butecos/belo-horizonte/page/3/,2026-05-02 11:51:12
Bar Du Du,"R. Vinte e Oito de Setembro, 229 | Esplanada, Belo Horizonte - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09111447/bardudu_atequemnaogostacome_bh_2026_pauloti_unibh-4066.jpg,https://comidadibuteco.com.br/buteco/bar-du-du/,https://comidadibuteco.com.br/butecos/belo-horizonte/page/3/,2026-05-02 11:51:12
