name,address,photo,details_url,page_src_url,extracted_at
Alek Bar,"R. Henrique Dias, 32 | Velha, Blumenau - SC",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/06123103/alekbar_patedopopeye_blumenau_2026_neyscheeffer.jpg,https://comidadibuteco.com.br/buteco/alek-bar/,https://comidadibuteco.com.br/butecos/blumenau/,2026-05-02 11:53:19
Bistrô Pai D’Égua,"R. General Osório, 3730 | Água Verde, Blumenau - SC",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/06123104/bistropaidegua_bolinhodetacaca_blumenau_2026_neyscheeffer.jpg,https://comidadibuteco.com.br/buteco/bistro-pai-degua/,https://comidadibuteco.com.br/butecos/blumenau/,2026-05-02 11:53:19
Boteco do Jonathan Ferrari,"R. São Bernardo, 75 | Itoupava Norte, Blumenau - SC",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/06123106/botecodojoanthanferrari_vacalouca_blumenau_2026_neyscheeffer.jpg,https://comidadibuteco.com.br/buteco/boteco-do-jonathan-ferrari/,https://comidadibuteco.com.br/butecos/blumenau/,2026-05-02 11:53:19
Campeiraço Assados e Espetinhos,"R. Werner Duwe, 667 | Badenfurt, Blumenau - SC",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/06123107/campeiracoassadoseespetinhos_popeyecampeiro_blumenau_2026_neyscheeffer.jpg,https://comidadibuteco.com.br/buteco/campeiraco-assados-e-espetinhos/,https://comidadibuteco.com.br/butecos/blumenau/,2026-05-02 11:53:19
Casa Portella,"R. Frederico Jensen, 1360 - Casa | Itoupavazinha, Blumenau - SC",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/06123214/casaportella_alcatradoportella_blumenau_2026_neyscheeffer_1.jpg,https://comidadibuteco.com.br/buteco/casa-portella/,https://comidadibuteco.com.br/butecos/blumenau/,2026-05-02 11:53:19
Dark Sport Bar,"R. Fritz Spernau, 511 | Fortaleza, Blumenau - SC",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/06123216/darksportbar_entrevarios_blumenau_2026_neyscheeffer.jpg,https://comidadibuteco.com.br/buteco/dark-sport-bar/,https://comidadibuteco.com.br/butecos/blumenau/,2026-05-02 11:53:19
Duvidoso Bar,"Rua Almirante Tamandaré, 488 | Vila Nova, Blumenau - SC",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/06123217/duvidosobar_kaftaduvidosa_blumenau_2026_neyscheeffer.jpg,https://comidadibuteco.com.br/buteco/duvidoso-bar/,https://comidadibuteco.com.br/butecos/blumenau/,2026-05-02 11:53:19
Empório do Pastel,"R. Progresso, 2178 | Progresso, Blumenau - SC",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/06123218/emporiodopastel_entrebrocolisegoiabada_blumenau_2026_neyscheeffer.jpg,https://comidadibuteco.com.br/buteco/emporio-do-pastel/,https://comidadibuteco.com.br/butecos/blumenau/,2026-05-02 11:53:19
Espetinho Cê Tá Doido,"R. José Reuter, 914 | Velha Central, Blumenau - SC",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/06123220/espetinhocetadoido_combodaalegria_blumenau_2026_neyscheeffer.jpg,https://comidadibuteco.com.br/buteco/espetinho-ce-ta-doido/,https://comidadibuteco.com.br/butecos/blumenau/,2026-05-02 11:53:19
Jacó’s Bar,"R. Lucie Herkenhoff, 48 | Velha Central, Blumenau - SC",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/06123322/jacosbar_vacafoiproqueijo_blumenau_2026_neyscheeffer.jpg,https://comidadibuteco.com.br/buteco/jacos-bar/,https://comidadibuteco.com.br/butecos/blumenau/,2026-05-02 11:53:19
Lanches Ponto Certo,"R. Júlio Michel, 136 | Fortaleza, Blumenau - SC",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/06123324/lanchespontocerto_triodaresenha_blumenau_2026_neyscheeffer.jpg,https://comidadibuteco.com.br/buteco/lanches-ponto-certo/,https://comidadibuteco.com.br/butecos/blumenau/,2026-05-02 11:53:19
