name,address,photo,details_url,page_src_url,extracted_at
1 Poco Loco,"Rua Eduardo Tozzi, 115 | Jaguariuna, SP",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/07032653/1pocoloco_burritolocoveg_campinas_2026_dreisonmedeiros-01.jpg,https://comidadibuteco.com.br/buteco/1-poco-loco/,https://comidadibuteco.com.br/butecos/campinas/,2026-05-02 11:56:03
Bar da Loira,"R. Conselheiro Martim Francisco, 443 | Jardim Campos Elíseos, Campinas - SP",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/07032655/bardaloira_crocribbbq_campinas_2026_dreisonmedeiros-01.jpg,https://comidadibuteco.com.br/buteco/bar-da-loira/,https://comidadibuteco.com.br/butecos/campinas/,2026-05-02 11:56:03
Bar da Vila,"R. Madalena Barbosa Ferreira, 178 | Vila Lemos, Campinas - SP",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/07032656/bardavila_porpetadopopeye_campinas_2026_dreisonmedeiros-01.jpg,https://comidadibuteco.com.br/buteco/bar-da-vila/,https://comidadibuteco.com.br/butecos/campinas/,2026-05-02 11:56:03
Bar do Bau,"Av. Francisco de Paula Oliveira Nazareth, 1193 | Parque Industrial, Campinas - SP",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/07032804/bardobau_petiscodachef_campinas_2026_dreisonmedeiros-01.jpg,https://comidadibuteco.com.br/buteco/bar-do-bau-2/,https://comidadibuteco.com.br/butecos/campinas/,2026-05-02 11:56:03
Bar do Braz,"Rua Itapecerica da Serra, 1445 | Cidade Jardim, Campinas - SP",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/07032806/bardobraz_oliviapalito_campinas_2026_dreisonmedeiros-01.jpg,https://comidadibuteco.com.br/buteco/bar-do-braz/,https://comidadibuteco.com.br/butecos/campinas/,2026-05-02 11:56:03
Bar do Cação,"Av. Doutor Armando Sales de Oliveira, 55 | Taquaral, Campinas - SP",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/07032807/bardocacao_maresias_campinas_2026_dreisonmedeiros-01.jpg,https://comidadibuteco.com.br/buteco/bar-do-cacao/,https://comidadibuteco.com.br/butecos/campinas/,2026-05-02 11:56:03
Bar do Carioca,"R. Erasmo Braga, 1067 | Jardim Chapadão, Campinas - SP",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/07032809/bardocarioca_moderacao_campinas_2026_dreisonmedeiros-01.jpg,https://comidadibuteco.com.br/buteco/3330-revision-v1/,https://comidadibuteco.com.br/butecos/campinas/,2026-05-02 11:56:03
Bar do Durante,"Praça Menegon, 93 | Vila São José, Jaguariúna - SP",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/07032811/bardodurante_torresmoderolodefumadoapururuca_campinas_2026_dreisonmedeiros-01.jpg,https://comidadibuteco.com.br/buteco/bar-do-durante/,https://comidadibuteco.com.br/butecos/campinas/,2026-05-02 11:56:03
Bar do Furlan,"R. Dr. Delfino Cintra, 539 | Botafogo, Campinas - SP",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/07032916/bardofurlan_merylu_campinas_2026_dreisonmedeiros-01.jpg,https://comidadibuteco.com.br/buteco/bar-do-furlan/,https://comidadibuteco.com.br/butecos/campinas/,2026-05-02 11:56:03
Bar do Léo,"R. José dos Santos, 260 | Jardim Aurélia, Campinas - SP",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/07032918/bardoleo_linguadaperpetua_campinas_2026_dreisonmedeiros-01.jpg,https://comidadibuteco.com.br/buteco/bar-do-leo/,https://comidadibuteco.com.br/butecos/campinas/,2026-05-02 11:56:03
