name,address,photo,details_url,page_src_url,extracted_at
Aukanaii,"Rodovia Jornalista Manoel de Menezes, 1264 | Barra da Lagoa, Florianópolis - SC",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/07042252/aukanaii_coxinhaterraemar_florianopolis_2026_jocielerodrigues.jpg,https://comidadibuteco.com.br/buteco/aukanaii/,https://comidadibuteco.com.br/butecos/florianopolis/,2026-05-02 12:01:29
Bar e Restaurante Tarrafada,"Av. das Rendeiras, 1796 | Lagoa da Conceição, Florianópolis - SC",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/07042254/barerestaurantetarrafada_ofeiticodaconceicao_florianopolis_2026_jocielerodriues.jpg,https://comidadibuteco.com.br/buteco/bar-e-restaurante-tarrafada/,https://comidadibuteco.com.br/butecos/florianopolis/,2026-05-02 12:01:29
Bar Vodu,"Rua Victor Meirelles, 154 | Centro, Florianópolis - SC",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/07042256/barvodu_caponatadealcachofracompaomaltadotostado_florianopolis_2026_jocielerodrigues.jpg,https://comidadibuteco.com.br/buteco/bar-vodu/,https://comidadibuteco.com.br/butecos/florianopolis/,2026-05-02 12:01:29
Basílio Steakhouse,"R. Intendente João Nunes Vieira, 1058 | Ingleses, Florianópolis - SC",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/07042258/basiliosteakhouse_linguicaartesavaldobasilio_florianopolis_2026_jocielerodrigues.jpg,https://comidadibuteco.com.br/buteco/basilio-steakhouse/,https://comidadibuteco.com.br/butecos/florianopolis/,2026-05-02 12:01:29
Bendito Boteco,"Rua da Universidade, 346 | Pedra Branca, Palhoça - SC",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/07042416/benditoboteco_acoladamimosa_florianopolis_2026_jocielerodrigues.jpg,https://comidadibuteco.com.br/buteco/bendito-boteco/,https://comidadibuteco.com.br/butecos/florianopolis/,2026-05-02 12:01:29
Boteco do Alemão,"Av. Hercílio Luz, 692 | Centro, Florianópolis - SC",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/07042420/botecodoalemao_torpedodecostela_florianopolis_2026_jocielerodrigues.jpg,https://comidadibuteco.com.br/buteco/boteco-do-alemao/,https://comidadibuteco.com.br/butecos/florianopolis/,2026-05-02 12:01:29
Boteco do Paru,"Rua José Bonifácio, 311 | Canto, Florianópolis - SC",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/07042422/botecodoparu_escondidinhodesiri_florianopolis_2026_jocielerodrigues.jpg,https://comidadibuteco.com.br/buteco/boteco-do-paru/,https://comidadibuteco.com.br/butecos/florianopolis/,2026-05-02 12:01:29
Botequim das Flores,"Rod. Gilson da Costa Xavier, 1520 | Sambaqui, Florianópolis - SC",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/07042424/botequimdasflores_caldeiraodamagia_florianopolis_2026_jocielerodrigues.jpg,https://comidadibuteco.com.br/buteco/botequim-das-flores/,https://comidadibuteco.com.br/butecos/florianopolis/,2026-05-02 12:01:29
Camarão do Rafa,"Rua Hypólito Gregório Pereira, 605 | Canasvieiras, Florianópolis - SC",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/07042544/camaraodorafa_bolinhodefeijoada_florianopolis_2026_jocielerodrigues.jpg,https://comidadibuteco.com.br/buteco/camarao-do-rafa/,https://comidadibuteco.com.br/butecos/florianopolis/,2026-05-02 12:01:29
Camarão Manezinho,"Av. Leoberto Leal, 1066 | Barreiros, São José - SC",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/07042547/camaraomanezinho_ostrareal_florianopolis_2026_jocielerodrigues.jpg,https://comidadibuteco.com.br/buteco/camarao-manezinho/,https://comidadibuteco.com.br/butecos/florianopolis/,2026-05-02 12:01:29
Centro Social da Cerveja,"Av. César Seara, 19 | Carvoeira, Florianópolis - SC",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/07042549/centrosocialdacerveja_catupykinsh_florianopolis_2026_jocielerodrigues.jpg,https://comidadibuteco.com.br/buteco/centro-social-da-cerveja/,https://comidadibuteco.com.br/butecos/florianopolis/,2026-05-02 12:01:29
Dona Jovem Bar,"Av. Hercílio Luz, 636 | Centro, Florianópolis - SC",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/07042551/donajovem_boidesaia_florianopolis_2026_jocielerodrigues.jpg,https://comidadibuteco.com.br/buteco/dona-jovem-bar/,https://comidadibuteco.com.br/butecos/florianopolis/,2026-05-02 12:01:29
El Gato Gastro Pub,"Rodovia Doutor Antônio Luiz Moura Gonzaga, 4381 | Rio Tavares, Florianópolis - SC",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/07042552/elgatogastropub_bocadilhodoelgato_florianopolis_2026_jocielerodrigues.jpg,https://comidadibuteco.com.br/buteco/el-gato-gastro-pub/,https://comidadibuteco.com.br/butecos/florianopolis/page/2/,2026-05-02 12:01:42
Encantos do Peri,"Rodovia Francisco Thomaz dos Santos, 4527 | Pântano do Sul, Florianópolis - SC",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/07042714/encantosdoperi_croquetebrocoro_florianopolis_2026_jocielerodrigues.jpg,https://comidadibuteco.com.br/buteco/encantos-do-peri/,https://comidadibuteco.com.br/butecos/florianopolis/page/2/,2026-05-02 12:01:42
Gambarzeira,"R. Cônego Serpa, 68 | Santo Antônio de Lisboa, Florianópolis - SC",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/07042716/gambazeira_triocaicara_florianopolis_2026_jocielerodrigues.jpg,https://comidadibuteco.com.br/buteco/gambarzeira/,https://comidadibuteco.com.br/butecos/florianopolis/page/2/,2026-05-02 12:01:42
Gela Guela,"Avenida das Rendeiras, 2096 | Lagoa da Conceição, Florianópolis - SC",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/07042718/gelaguela_lagoatropical_florianopolis_2026_jocielerodrigues.jpg,https://comidadibuteco.com.br/buteco/gela-guela/,https://comidadibuteco.com.br/butecos/florianopolis/page/2/,2026-05-02 12:01:42
La Previa,"R. Cyro Belli Müller, 53 | Santa Mônica, Florianópolis - SC",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/07042719/laprevia_bunuelito_florianopolis_2026_jocielerodrigues.jpg,https://comidadibuteco.com.br/buteco/la-previa/,https://comidadibuteco.com.br/butecos/florianopolis/page/2/,2026-05-02 12:01:42
