name,address,photo,details_url,page_src_url,extracted_at
Bar do Nem,"R. General Clarindo de Queiroz | Centro, Fortaleza - CE",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/07061910/bardonem_sertaoverdenochaocoracao_fortaleza_2026_alanaalmeida-165_2.jpg,https://comidadibuteco.com.br/buteco/10094-revision-v1/,https://comidadibuteco.com.br/butecos/fortaleza/,2026-05-02 12:03:11
Bar O Camocim,"R. Padre Mororó, 1012 | Centro, Fortaleza - CE",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/07061914/barocamocim_tropeiraodacasa_fortaleza_2026_alanaalmeida-20_2-scaled.jpg,https://comidadibuteco.com.br/buteco/3801-revision-v1/,https://comidadibuteco.com.br/butecos/fortaleza/,2026-05-02 12:03:11
Boteco Di Garagem,"Rua Bento Gonçalves, 703 - Loja 07 | Novo Mondubim, Fortaleza - CE",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/07061917/botecodigaragem_ninhocaipira_fortaleza_2026_alanaalmeida-11_2.jpg,https://comidadibuteco.com.br/buteco/boteco-di-garagem/,https://comidadibuteco.com.br/butecos/fortaleza/,2026-05-02 12:03:11
Buteco Afonso Pescados,"Alameda das Begônias, 202 - Casa | Cidade 2000, Fortaleza - CE",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/07062054/butecoafonsopescados_camaraocroccroc_fortaleza_2026_alanaalmeida-11_4.jpg,https://comidadibuteco.com.br/buteco/buteco-afonso-pescados/,https://comidadibuteco.com.br/butecos/fortaleza/,2026-05-02 12:03:11
Estaleiro do Gaúcho,"Av. Beira Mar, 4436 - Lojas 7/8 | Meireles, Fortaleza - CE",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/07062057/estaleirodogaucho_flordefogo_fortaleza_2026_alanaalmeida-176_2.jpg,https://comidadibuteco.com.br/buteco/estaleiro-do-gaucho/,https://comidadibuteco.com.br/butecos/fortaleza/,2026-05-02 12:03:11
GPetiscos,"Rua Sousa Girão, 133 | José Bonifácio, Fortaleza - CE",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/07062059/gpetiscos_saboresdaterra_fortaleza_2026_alanaalmeida-122.jpg,https://comidadibuteco.com.br/buteco/gpetiscos/,https://comidadibuteco.com.br/butecos/fortaleza/,2026-05-02 12:03:11
Juju Boa Ideia,"Rua Pescador João Santana, 49 | Mucuripe, Fortaleza - CE",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/07062103/jujuboaideia_arraiatropicana_fortaleza_2026_alanaalmeida-148.jpg,https://comidadibuteco.com.br/buteco/juju-boa-ideia/,https://comidadibuteco.com.br/butecos/fortaleza/,2026-05-02 12:03:11
Long Beer,"R. Bélgica, 1050 - A | Maraponga, Fortaleza - CE",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/07062206/longbeer_jeitinhonordestino_fortaleza_2026_alanaalmeida-156.jpg,https://comidadibuteco.com.br/buteco/long-beer/,https://comidadibuteco.com.br/butecos/fortaleza/,2026-05-02 12:03:11
Mar de Rosas,"Rua dos Tabajaras, 542 | Praia de Iracema, Fortaleza - CE",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/07062208/marderosas_charutinhodomar_fortaleza_2026_alanaalmeida-48.jpg,https://comidadibuteco.com.br/buteco/mar-de-rosas/,https://comidadibuteco.com.br/butecos/fortaleza/,2026-05-02 12:03:11
Moreirinha Grill,"Rua Recanto Tranquilo, 310 | Itaperi, Fortaleza - CE",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/02/12060043/cdb26_kv.png,https://comidadibuteco.com.br/buteco/morerinha-grill/,https://comidadibuteco.com.br/butecos/fortaleza/,2026-05-02 12:03:11
