name,address,photo,details_url,page_src_url,extracted_at
1960 Bar,"Rua 237, 307 | Setor Coimbra, Goiânia - GO",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/18005703/1960bar_rabodopopeye_goias_2026_jaredmagalhaes4-scaled.jpg,https://comidadibuteco.com.br/buteco/1960-bar/,https://comidadibuteco.com.br/butecos/goias/,2026-05-02 12:04:06
Bar do Rochinha,"Avenida R 11, 240 | Setor Oeste, Goiânia - GO",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/12061916/bardorochinha_charutinhotropical_goias_2026_jaredmagalhaes3-scaled.jpg,https://comidadibuteco.com.br/buteco/bar-do-rochinha/,https://comidadibuteco.com.br/butecos/goias/,2026-05-02 12:04:06
Bar Dodô,"Rua Horizonte, 160 | Setor Aeroviário, Goiânia - GO",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/18005919/bardodo_carnedesoldeboteco_goias_2026_jaredmagalhaes-scaled.jpg,https://comidadibuteco.com.br/buteco/bar-dodo/,https://comidadibuteco.com.br/butecos/goias/,2026-05-02 12:04:06
Bar Frango Gaúcho,"Av. C 104, 1644 | Jardim América, Goiânia - GO",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/18010042/barfrangogaucho_croquetedopopeye_goias_2026_jaredmagalhaes4-scaled.jpg,https://comidadibuteco.com.br/buteco/bar-frango-gaucho/,https://comidadibuteco.com.br/butecos/goias/,2026-05-02 12:04:06
Bar Ponto 18,"Rua 21, 133 | Setor Central, Goiânia - GO",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/18010126/barponto18_verdosa_goias_2026_jaredmagalhaes3-scaled.jpg,https://comidadibuteco.com.br/buteco/bar-ponto-18/,https://comidadibuteco.com.br/butecos/goias/,2026-05-02 12:04:06
Barbosa Estufa & Brasa,"Avenida dos Flamboyants, 427 Goiânia - GO",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/12061910/barbosaestufaegrelha_barbositos_goiania_2026_jaredmagalhaes-scaled.jpg,https://comidadibuteco.com.br/buteco/barbosa-estufa-brasa/,https://comidadibuteco.com.br/butecos/goias/,2026-05-02 12:04:06
Bendito Bar e Restaurante,"Av. Barão do Rio Branco, 27 | Jardim Luz, Aparecida de Goiânia - GO",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/18010300/benditobarerestaurante_benditatapas_goias_2026_jaredmagalhaes3-scaled.jpg,https://comidadibuteco.com.br/buteco/bendito-bar-e-restaurante/,https://comidadibuteco.com.br/butecos/goias/,2026-05-02 12:04:06
Bistrô Chica Doida,"Av. Virgílio Joaquim Ferreira, 23 | Parque Flamboyant, Aparecida de Goiânia - GO",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/18010359/bistrochicadoida_tirateima_goias_2026_jaredmagalhaes3-scaled.jpg,https://comidadibuteco.com.br/buteco/5495-revision-v1/,https://comidadibuteco.com.br/butecos/goias/,2026-05-02 12:04:06
Boteco do Mala,"Av. Niemeyer, 162 | Jardim Buriti Sereno, Aparecida de Goiânia - GO",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/18010455/botecodomala_hojeeutocrocante_goias_2026_jaredmagalhaes4-scaled.jpg,https://comidadibuteco.com.br/buteco/boteco-do-mala/,https://comidadibuteco.com.br/butecos/goias/,2026-05-02 12:04:06
Boteco do ti Cleyton,"Rua Formosa, 1087 Goiânia - GO",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/12061939/botecodoticleyton_crocbrocdoti_goias_2026_jaredmagalhaes4-scaled.jpg,https://comidadibuteco.com.br/buteco/boteco-do-ti-cleyton/,https://comidadibuteco.com.br/butecos/goias/,2026-05-02 12:04:06
