name,address,photo,details_url,page_src_url,extracted_at
350 Lanches,"R. Albano Schmidt, 1061 | Boa Vista, Joinville - SC",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/08070436/350lanches_crispyreal_joinville_2026_eltoncosta__1.jpg,https://comidadibuteco.com.br/buteco/350-lanches/,https://comidadibuteco.com.br/butecos/joinville/,2026-05-02 12:06:39
Alho e Menta e Açaideira,"Rua Mário César Machado dos Santos, 358 | Fátima, Joinville - SC",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/08070438/alhoementaacadeira_peixeasopp_joinville_2026_eltoncosta__1.jpg,https://comidadibuteco.com.br/buteco/alho-e-menta-e-acaideira/,https://comidadibuteco.com.br/butecos/joinville/,2026-05-02 12:06:39
Bar do Adolfo,"R. Alagoas, 303 | Anita Garibaldi, Joinville - SC",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/08070439/bardoadolfo_chapeadodoadolfo_joinville_2026_eltoncosta_1.jpg,https://comidadibuteco.com.br/buteco/bar-do-adolfo/,https://comidadibuteco.com.br/butecos/joinville/,2026-05-02 12:06:39
Boteco do Jota,"Rua Xanxerê, 667 | Saguaçu, Joinville - SC",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/08070441/botecodojota_boinoporo_joinville_2026_eltoncosta__1.jpg,https://comidadibuteco.com.br/buteco/boteco-do-jota/,https://comidadibuteco.com.br/butecos/joinville/,2026-05-02 12:06:39
Casa Amarela,"R. Dona Francisca, 773 | Saguaçu, Joinville - SC",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/08070542/casaamarela_camaraocrocante_joinville_2026_eltoncosta__1.jpg,https://comidadibuteco.com.br/buteco/casa-amarela-2/,https://comidadibuteco.com.br/butecos/joinville/,2026-05-02 12:06:39
Dovah Lanches e Shawarmas,"R. Graciosa, 935 | Guanabara, Joinville - SC",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/08070544/dovahlancheseshawarmas_clanchinhosdanick_joinville_2026_eltoncosta__1.jpg,https://comidadibuteco.com.br/buteco/dovah-lanches-e-shawarmas/,https://comidadibuteco.com.br/butecos/joinville/,2026-05-02 12:06:39
Empadas Jerke,"R. Doutor João Colin, 393 | Centro, Joinville - SC",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/08070545/empadasjerke_camaraomelete_joinville_2026_eltoncosta__1.jpg,https://comidadibuteco.com.br/buteco/empadas-jerke/,https://comidadibuteco.com.br/butecos/joinville/,2026-05-02 12:06:39
Espaço Sabor,"R. Ricardo Stamm Gomes, 27 - Pça. Hercílio Luz | Bucarein, Joinville - SC",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/08070547/espacosabor_ambulante_joinville_2026_eltoncosta__2.jpg,https://comidadibuteco.com.br/buteco/espaco-sabor-2/,https://comidadibuteco.com.br/butecos/joinville/,2026-05-02 12:06:39
Holy Meat,"Rua Tijucas, 386 | Centro, Joinville - SC",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/08070549/holymeat_dadinhosdetapiocaebrocolis_joinville_2026_eltoncosta__1.jpg,https://comidadibuteco.com.br/buteco/holy-meat/,https://comidadibuteco.com.br/butecos/joinville/,2026-05-02 12:06:39
Joe Tekila,"R. Santa Catarina, 2349 | Floresta, Joinville - SC",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/08070650/joetekila_saboeescondido_joinville_2026_eltoncosta__1.jpg,https://comidadibuteco.com.br/buteco/joe-tekila/,https://comidadibuteco.com.br/butecos/joinville/,2026-05-02 12:06:39
