name,address,photo,details_url,page_src_url,extracted_at
Assada Shangri-lá,"Rua Visconde de Mauá, 168 |  Londrina - PR",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/08072109/assadashangrila_tempuradecamaraoelegumes_londrina_2026_fabiomanini.jpg,https://comidadibuteco.com.br/buteco/assada-shangri-la/,https://comidadibuteco.com.br/butecos/londrina/,2026-05-02 12:10:11
Bar do Paulista,"Rua Jorge Velho, 221 | Centro, Londrina - PR",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/08072110/bardopaulista_filemignonsuinocombrocolis_londrina_2026_fabiomanini.jpg,https://comidadibuteco.com.br/buteco/bar-do-paulista/,https://comidadibuteco.com.br/butecos/londrina/,2026-05-02 12:10:11
Bar do Valter,"Rua Belém, 245 | Centro, Londrina - PR",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/08072112/bardovalter_petiscocomidadibuteco_londrina_2026_fabiomanini.jpg,https://comidadibuteco.com.br/buteco/bar-do-valter/,https://comidadibuteco.com.br/butecos/londrina/,2026-05-02 12:10:11
Bar São Vicente,"Rua São Vicente, 1173 | Jardim Palmares, Londrina - PR",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/08072114/barsaovicente_trioblumenal_londrina_2026_fabiomanini.jpg,https://comidadibuteco.com.br/buteco/bar-sao-vicente-2/,https://comidadibuteco.com.br/butecos/londrina/,2026-05-02 12:10:11
Barile Bar,"Rua Paranaguá, 1146 | Centro, Londrina - PR",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/08072215/barilebar_barquinhadeespinafre_londrina_2026_fabiomanini.jpg,https://comidadibuteco.com.br/buteco/barile-bar/,https://comidadibuteco.com.br/butecos/londrina/,2026-05-02 12:10:11
Bem Dito Bar,"Rua Araguaia, 43 | Vila Nova, Londrina - PR",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/08072216/bemdito_carnedeoncacomcremedeespinafre_londrina_2026_fabiomanini.jpg,https://comidadibuteco.com.br/buteco/bem-dito-bar/,https://comidadibuteco.com.br/butecos/londrina/,2026-05-02 12:10:11
Chik Grill Petiscaria,"Avenida Saul Elkind, 2244 | Londrina - PR",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/08072218/chickgrillpetiscaria_palitinhodeespinafreaquatroqueijos_londrina_2026_fabiomanini.jpg,https://comidadibuteco.com.br/buteco/chik-grill-petiscaria/,https://comidadibuteco.com.br/butecos/londrina/,2026-05-02 12:10:11
Churraskin Espetaria e Choperia,"Avenida Celso Garcia Cid, 330 | Centro, Londrina - PR",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/08072219/churraskinespetaria_bolinhodefeijoada_londrina_2026_fabiomanini.jpg,https://comidadibuteco.com.br/buteco/churraskin-espetaria-e-choperia/,https://comidadibuteco.com.br/butecos/londrina/,2026-05-02 12:10:11
Cícero Grill,"Rua Figueira, 822 , Londrina - PR",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/08072221/cicerogrill_pancetaapururuca_londrina_2026_fabiomanini.jpg,https://comidadibuteco.com.br/buteco/cicero-grill/,https://comidadibuteco.com.br/butecos/londrina/,2026-05-02 12:10:11
Distrito 43 Gastrobar,"Avenida Garibaldi Deliberador, 800 | Parque Residencial Alcântara, Londrina - PR",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/08072322/distrito43gastrobar_bolinhocremosodecalabresaealhoporo_londrina_2026_fabiomanini.jpg,https://comidadibuteco.com.br/buteco/distrito-43-gastrobar-2/,https://comidadibuteco.com.br/butecos/londrina/,2026-05-02 12:10:11
Duda Bar & Espetaria,"Rua Rio Paraná, 198 | Jardim do Café, Cambé - PR",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/08072324/dudaespetaria_trioporkpan_londrina_2026_fabiomanini_1.jpg,https://comidadibuteco.com.br/buteco/duda-bar-espetaria/,https://comidadibuteco.com.br/butecos/londrina/,2026-05-02 12:10:11
Espetaria Mossoró,"Rua Mossoró, 483 | Centro, Londrina - PR",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/08072326/espetariamossoro_caldosaboreamor_londrina_2026_1.jpeg,https://comidadibuteco.com.br/buteco/espetaria-mossoro-2/,https://comidadibuteco.com.br/butecos/londrina/,2026-05-02 12:10:11
Goiano Bar e Grill,"Rua Chile, 687 | Centro, Londrina - PR",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/08072327/goianobar_discodefeijaotropeiro_londrina_2026_fabiomanini.jpg,https://comidadibuteco.com.br/buteco/goiano-bar-e-grill/,https://comidadibuteco.com.br/butecos/londrina/page/2/,2026-05-02 12:10:27
Lanchonete Carolli,"Rua Arcindo Sardo, 197 | Jardim das Américas, Londrina - PR",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/08072329/lanchonetecarolli_palitotropical_londrina_2026_fabiomanini.jpg,https://comidadibuteco.com.br/buteco/lanchonete-carolli/,https://comidadibuteco.com.br/butecos/londrina/page/2/,2026-05-02 12:10:27
