name,address,photo,details_url,page_src_url,extracted_at
Alice’s Happy Rock,"Rua Abel Botelho, 277 | Flores, Manaus - AM",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/08073228/aliceshappyrock_fofoquinha_manaus_2026_maikereislima-01.jpg,https://comidadibuteco.com.br/buteco/alices-happy-rock/,https://comidadibuteco.com.br/butecos/manaus-butecos/,2026-05-02 12:11:17
Aretê Delícias Regionais,"Rua Síria, 521 | Cidade Nova, Manaus - AM",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/08073231/aretedeliciasregionais_empanadaacaboclacommolhofloresta_manaus_2026_maikereislima-01.jpg,https://comidadibuteco.com.br/buteco/arete-delicias-regionais/,https://comidadibuteco.com.br/butecos/manaus-butecos/,2026-05-02 12:11:17
Bambu Bar,"Rua Carlos Lecor, 1015  | Parque 10 de Novembro, Manaus - AM",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/08073234/bambubar_camaroesaocremecomverduras_manaus_2026_maikereislima-01.jpg,https://comidadibuteco.com.br/buteco/3659-revision-v1/,https://comidadibuteco.com.br/butecos/manaus-butecos/,2026-05-02 12:11:17
Bar Calçada Alta,"Rua Costa Azevedo, 96 | Centro, Manaus - AM.",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/08073236/barcalcadaalta_banzeiroamazonico_manaus_2026_maikereislima-01.jpg,https://comidadibuteco.com.br/buteco/bar-calcada-alta/,https://comidadibuteco.com.br/butecos/manaus-butecos/,2026-05-02 12:11:17
BAR RIGUDOS,"R. Abdon Made , 6 -  MANAUS",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/08073339/barrigudos_escarolinhoprimavera_manaus_2026_maikereislima-01.jpg,https://comidadibuteco.com.br/buteco/bar-rigudos/,https://comidadibuteco.com.br/butecos/manaus-butecos/,2026-05-02 12:11:17
Biatüwi,"R. Bernardo Ramos, 97 | Centro, Manaus - AM",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/08073342/biatuwi_puta_significapetiscoemsatere_manaus_2026_maikereislima-01.jpg,https://comidadibuteco.com.br/buteco/biatuwi/,https://comidadibuteco.com.br/butecos/manaus-butecos/,2026-05-02 12:11:17
Confraria do Aranha,"Av. Visc. de Porto Alegre, 385 | Centro, Manaus - AM",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/08073349/confrariadoaranha_roleteroxodoaranha_manaus_2026_maikereislima-01.jpg,https://comidadibuteco.com.br/buteco/confraria-do-aranha/,https://comidadibuteco.com.br/butecos/manaus-butecos/,2026-05-02 12:11:17
Dom Chiquito Bar e Petiscaria,"Rua Professor Ernani Simão, 1242 | Cachoeirinha, Manaus - AM",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/08073451/domchiquitobarepetiscaria_jardineiradecharque_manaus_2026_maikereislima-01.jpg,https://comidadibuteco.com.br/buteco/dom-chiquito-bar-e-petiscaria/,https://comidadibuteco.com.br/butecos/manaus-butecos/,2026-05-02 12:11:17
Espetto Grill & Burguers,"Av. Penetração, 21 | Nova Cidade, Manaus - AM",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/08073454/espettogrillburguers_pirarucucaboclo_manaus_2026_maikereislima-02.jpg,https://comidadibuteco.com.br/buteco/espetto-grill-burguers/,https://comidadibuteco.com.br/butecos/manaus-butecos/,2026-05-02 12:11:17
Farrapo Cozinha,"Rua Costa Azevedo, 147 | Centro, Manaus - AM",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/08073456/farrapocozinha_naosaida5seriemecontrolarpranaofazerpiadafoidificil_manaus_2026_maikereislima-01.jpg,https://comidadibuteco.com.br/buteco/farrapo-cozinha/,https://comidadibuteco.com.br/butecos/manaus-butecos/,2026-05-02 12:11:17
Flutuante Bar e Restaurante Solar de Tupã,"Acesso pela Marina do Davi,  Manaus - AM",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/08073458/flutuantebarerestaurantesolardetupa_canjiquinhacomcostelinhasuinaamineira_manaus_2026.jpg,https://comidadibuteco.com.br/buteco/flutuante-bar-e-restaurante-solar-de-tupa/,https://comidadibuteco.com.br/butecos/manaus-butecos/,2026-05-02 12:11:17
Goiaba Bar,"R. René de Nápolis, 488 | Adrianópolis, Manaus - AM",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/08073502/goiababar_trincadeouro_manaus_2026_maikereislima-01.jpg,https://comidadibuteco.com.br/buteco/goiaba-bar/,https://comidadibuteco.com.br/butecos/manaus-butecos/,2026-05-02 12:11:17
Gringo’s Bar,"Av. Eduardo Ribeiro, 926 - A | Centro, Manaus - AM",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/08073604/gringosbar_falafelamazonico_manaus_2026_maikereislima-01.jpg,https://comidadibuteco.com.br/buteco/gringos-bar/,https://comidadibuteco.com.br/butecos/manaus-butecos/page/2/,2026-05-02 12:11:31
O Irlandês,"R. Barão de Jaceguai, 695 | Flores, Manaus - AM",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/08073607/oirlandes_pernilaluizgeraldo_manaus_2026_maikereislima-01.jpg,https://comidadibuteco.com.br/buteco/o-irlandes/,https://comidadibuteco.com.br/butecos/manaus-butecos/page/2/,2026-05-02 12:11:31
O Porreta Amazônico,"Av. Margarita, 1984  | Nova Cidade, Manaus - AM",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/08073610/oporretamazonico_naondadapororoca_manaus_2026_maikereislima-01.jpg,https://comidadibuteco.com.br/buteco/o-porreta-amazonico/,https://comidadibuteco.com.br/butecos/manaus-butecos/page/2/,2026-05-02 12:11:31
Point do Acarajé,"Rua do Comércio, 115  | Parque 10 de Novembro, Manaus - AM",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/02/12060043/cdb26_kv.png,https://comidadibuteco.com.br/buteco/point-do-acaraje/,https://comidadibuteco.com.br/butecos/manaus-butecos/page/2/,2026-05-02 12:11:31
Varanda’s Rio Negro,"Av. Pe. Agostinho Caballero Martin, 955 | São Raimundo, Manaus - AM",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/08073713/varandasrionegro_petiscoquasefitness_manaus_2026_maikereislima-01.jpg,https://comidadibuteco.com.br/buteco/varandas-rio-negro-2/,https://comidadibuteco.com.br/butecos/manaus-butecos/page/2/,2026-05-02 12:11:31
