name,address,photo,details_url,page_src_url,extracted_at
Armônico Bar,"R. Dr. Saulo Porto Virmond, 478 - A | Chácara Paulista, Maringá - PR",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/18013124/armonicobar_pastelarmonico_maringa_2026_angiolettofotografia_02.jpg,https://comidadibuteco.com.br/buteco/armonico-bar/,https://comidadibuteco.com.br/butecos/maringa/,2026-05-02 12:12:20
Atari bar,"Av. Prudente de Morais, 945 | Maringá - PR",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/18013140/ataribar_coxinhacremosadefrangocomespinafre_maringa_2026_angiolettofotografia_02.jpg,https://comidadibuteco.com.br/buteco/atari-bar/,https://comidadibuteco.com.br/butecos/maringa/,2026-05-02 12:12:20
Bar do Clebinho,"Av. Paranavaí, 697 |  Maringá - PR",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/18013210/bardoclebinho_rolinhodecouve_maringa_2026_angiolettofotografia_02.jpg,https://comidadibuteco.com.br/buteco/bar-do-clebinho/,https://comidadibuteco.com.br/butecos/maringa/,2026-05-02 12:12:20
Bar do Ponce,"R. La Paz, 1055 | Vila Morangueira, Maringá - PR",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/18013225/bardoponce_arancinidecarreteiro_maringa_2026_angiolettofotografia_02.jpg,https://comidadibuteco.com.br/buteco/bar-do-ponce/,https://comidadibuteco.com.br/butecos/maringa/,2026-05-02 12:12:20
Boteco do Binho,"Avenida Tuiuti, 1427 | Vila Morangueira, Maringá - PR",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/12061931/botecodobinho_rabadacomagriao_maringa_2026_angiolettofotografia_02.jpg,https://comidadibuteco.com.br/buteco/boteco-do-binho/,https://comidadibuteco.com.br/butecos/maringa/,2026-05-02 12:12:20
Boteco do Pinguim,"Av. Cerro Azul, 2377 | Gleba Ribeirão Pinguim, Maringá - PR",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/12061933/botecodopinguim_porquinhocrocante_maringa_2026_angiolettofotografia_02.jpg,https://comidadibuteco.com.br/buteco/boteco-do-pinguim/,https://comidadibuteco.com.br/butecos/maringa/,2026-05-02 12:12:20
Budega do Vizinho,"Av. Alziro Zarur, 919 | Vila Vardelina, Maringá - PR",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/18013242/budegadovizinho_tartinederuculacomguacamoleequeijo_maringa_2026_angiolettofotografia_02.jpg,https://comidadibuteco.com.br/buteco/budega-do-vizinho/,https://comidadibuteco.com.br/butecos/maringa/,2026-05-02 12:12:20
Buteco do Kaká,"Av. Colombo, 7282 |  Maringá - PR",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/18013715/butecodokaka_bolinhodoboibandido_maringa_2026_angiolettofotografia_02.jpg,https://comidadibuteco.com.br/buteco/buteco-do-kaka/,https://comidadibuteco.com.br/butecos/maringa/,2026-05-02 12:12:20
Buteco do Ney,"Av. Doutor Alexandre Rasgulaeff, 4175 | Jardim Imperial II, Maringá - PR",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/12061947/butecodoney_bolinhodobuteco_maringa_2026_angiolettofotografia_02.jpg,https://comidadibuteco.com.br/buteco/buteco-do-ney/,https://comidadibuteco.com.br/butecos/maringa/,2026-05-02 12:12:20
Casa do Guina Petiscaria,"Avenida Kakogawa, 919 | Parque das Bandeiras, Maringá - PR",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/12061950/casadoguinapetiscaria_caldoverdedoguina_maringa_2026_angiolettofotografia_02.jpg,https://comidadibuteco.com.br/buteco/casa-do-guina-petiscaria/,https://comidadibuteco.com.br/butecos/maringa/,2026-05-02 12:12:20
