name,address,photo,details_url,page_src_url,extracted_at
Balança Vento,"Av. Castelar Prates, 382 | Major Prates, Montes Claros - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/08133344/balancavento_sertaozinho_montesclaros_2026_danielmaia.jpg,https://comidadibuteco.com.br/buteco/balanca-vento/,https://comidadibuteco.com.br/butecos/montes-claros/,2026-05-02 12:13:19
Bar do Kal,"R. Antônio Martins, 50 | Santos Reis, Montes Claros - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/08133346/bardokal_elasoquerverdura_montesclaros_2026_danielmaia.jpg,https://comidadibuteco.com.br/buteco/bar-do-kal/,https://comidadibuteco.com.br/butecos/montes-claros/,2026-05-02 12:13:19
Bar do Soró,"Rua Padre Eustáquio, 135 | São José, Montes Claros, MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/08133348/bardosoro_surpresinhadosoro_montesclaros_2026_danielmaia.jpg,https://comidadibuteco.com.br/buteco/bar-soro/,https://comidadibuteco.com.br/butecos/montes-claros/,2026-05-02 12:13:19
Botequim,"Av. Doutor Sidney Chaves, 895 | Edgar Pereira, Montes Claros - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/08133350/botequim_lacasadeboteco_montesclaros_2026_danielmaia.jpg,https://comidadibuteco.com.br/buteco/botequim/,https://comidadibuteco.com.br/butecos/montes-claros/,2026-05-02 12:13:19
Cantina da Paty,"Rua J, 480 | Acácias, Montes Claros - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/08133451/cantinadapaty_mineirinhaturbinada_montesclaros_2026_danielmaia.jpg,https://comidadibuteco.com.br/buteco/cantina-da-paty/,https://comidadibuteco.com.br/butecos/montes-claros/,2026-05-02 12:13:19
Carrancas Grill,"BR-365, 267 | Major Prates, Montes Claros - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/08133454/carrancasgrill_pronobiseproces_montesclaros_2026_danielmaia.jpg,https://comidadibuteco.com.br/buteco/carrancas-grill/,https://comidadibuteco.com.br/butecos/montes-claros/,2026-05-02 12:13:19
Diferencial Bar,"Av. Pedro Mendonça, 93 | Santos Reis, Montes Claros - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/08133455/diferencialbar_costelinhadiferenciada_montesclaros_2026_danielmaia.jpg,https://comidadibuteco.com.br/buteco/diferencial-bar/,https://comidadibuteco.com.br/butecos/montes-claros/,2026-05-02 12:13:19
Divino’s Bar,"R. Luís Ruas, 62 | Santos Reis, Montes Claros - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/08133457/divinosbar_repolebutecado_montesclaros_2026_danielmaia.jpg,https://comidadibuteco.com.br/buteco/divinos-bar-2/,https://comidadibuteco.com.br/butecos/montes-claros/,2026-05-02 12:13:19
Dog Mania,"Alameda Beija-Flor, 390 | Jardim Primavera, Montes Claros - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/08133459/dogmania_semrefrear_2_montesclaros_2026_danielmaia.jpg,https://comidadibuteco.com.br/buteco/dog-mania/,https://comidadibuteco.com.br/butecos/montes-claros/,2026-05-02 12:13:19
Gordo’s Bar,"Rua Raul Corrêa, 226 | Funcionários, Montes Claros - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/08133601/gordos_trembaodemais_montesclaros_2026_danielmaia.jpg,https://comidadibuteco.com.br/buteco/gordos-bar/,https://comidadibuteco.com.br/butecos/montes-claros/,2026-05-02 12:13:19
Imperial Bar,"Rua Campo Belo, 1455 | Montes Claros - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/08133603/imperialbar_torresmoimperador_2_montesclaros_2026_danielmaia.jpg,https://comidadibuteco.com.br/buteco/imperial-bar/,https://comidadibuteco.com.br/butecos/montes-claros/,2026-05-02 12:13:19
Kentura 2,"Rua Santa Maria, 662 | Todos os Santos, Montes Claros - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/08133605/kentura2_oraporconobis_montesclaros_2026_danielmaia.jpg,https://comidadibuteco.com.br/buteco/kentura-2/,https://comidadibuteco.com.br/butecos/montes-claros/,2026-05-02 12:13:19
Liu Casa Bar,"R. Espírito Santo, 246 | Esplanada, Montes Claros - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/08133607/liucasabar_dobradinhacomtoquedealhoporo_montesclaros_2026_danielmaia.jpg,https://comidadibuteco.com.br/buteco/liu-casa-bar/,https://comidadibuteco.com.br/butecos/montes-claros/page/2/,2026-05-02 12:13:33
