name,address,photo,details_url,page_src_url,extracted_at
Alhos e Bugalhos,"R. Desembargador Lima Castro, 66 | Fonseca, Niterói - RJ",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09092451/alhosebugalhos_napontadalingua_niteroi_2026_joana_1-scaled.jpg,https://comidadibuteco.com.br/buteco/alhos-e-bugalhos/,https://comidadibuteco.com.br/butecos/niteroi/,2026-05-02 12:31:22
Alto da Ilha Bar,"Rua Cruzeiro, 317 | Ilha da Conceição, Niterói - RJ",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09092457/altodailha_domaraobar_niteroi_2026_joana_1-scaled.jpg,https://comidadibuteco.com.br/buteco/alto-da-ilha-bar/,https://comidadibuteco.com.br/butecos/niteroi/,2026-05-02 12:31:22
Âncoras Itaipu,"Praia de Itaipu, 24 | Itaipu, Niterói - RJ",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09092503/ancora_sitaipu_amagiadobuteco_niteroi_2026_joana_1-scaled.jpg,https://comidadibuteco.com.br/buteco/ancoras-itaipu/,https://comidadibuteco.com.br/butecos/niteroi/,2026-05-02 12:31:22
Armazém 7 Bar e Pub,"R. Visconde de Morais, 270 | Ingá, Niterói - RJ",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09092507/armazem7barepub_torresmona_niteroi_2026_joana_1-scaled.jpg,https://comidadibuteco.com.br/buteco/armazem-7-bar-e-pub/,https://comidadibuteco.com.br/butecos/niteroi/,2026-05-02 12:31:22
Armazém do Caranguejo,"R. Visconde de Itaboraí, 196 | Centro, Niterói - RJ",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09092613/armazemdocaranguejo_riopaadadura_nieroi_2026_joana_1-scaled.jpg,https://comidadibuteco.com.br/buteco/armazem-caranguejo/,https://comidadibuteco.com.br/butecos/niteroi/,2026-05-02 12:31:22
Armazém Granel,"R. Vereador Duque Estrada, 50 | Santa Rosa, Niterói - RJ",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09092619/armazemgranel_canapedeporcodoidodelata_niteroi_2026_joana_1-scaled.jpg,https://comidadibuteco.com.br/buteco/armazem-granel/,https://comidadibuteco.com.br/butecos/niteroi/,2026-05-02 12:31:22
Bar da Laura,"R. Visconde do Uruguai, 183 | Centro, Niterói - RJ",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09092625/bardalaura_encantodecamarao_niteroi_2026_joana_1-scaled.jpg,https://comidadibuteco.com.br/buteco/bar-da-laura-2/,https://comidadibuteco.com.br/butecos/niteroi/,2026-05-02 12:31:22
Bar do Peixe,"Estrada Caetano Monteiro, 1994 - Loja 106 | Badu, Niterói - RJ",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09092631/bardopeixe_cubinhosdomarmartins_niteroi_2026_joana_1-scaled.jpg,https://comidadibuteco.com.br/buteco/4054-revision-v1/,https://comidadibuteco.com.br/butecos/niteroi/,2026-05-02 12:31:22
Bar do Tião,"Praia de Itaipu, 23 - Loja | Itaipu, Niterói - RJ",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/08120803/bardotiao_mexilhoba_niteroi_2026_joana-1-scaled.jpg,https://comidadibuteco.com.br/buteco/bar-do-tiao/,https://comidadibuteco.com.br/butecos/niteroi/,2026-05-02 12:31:22
Beco JT,"Rua Joaquim Távora, 101 | Icaraí, Niterói - RJ",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09092742/becojt_porquinhoenrolado_niteroi_2026_joana_1-scaled.jpg,https://comidadibuteco.com.br/buteco/beco-jt/,https://comidadibuteco.com.br/butecos/niteroi/,2026-05-02 12:31:22
Cantinho da Tia Joana,"Praia de Itaipu, 16 - Vila dos Pescadores | Itaipu, Niterói - RJ",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09092749/cantinhodatiajoana_ficaaeenatiajoana_niteroi_2026_joana_1-scaled.jpg,https://comidadibuteco.com.br/buteco/cantinho-da-tia-joana/,https://comidadibuteco.com.br/butecos/niteroi/,2026-05-02 12:31:22
