name,address,photo,details_url,page_src_url,extracted_at
Adegadega,"R. Juiz Aderbal de Oliveira, 209  | Centro, São João de Meriti - RJ",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09054906/adegadega_perolarosadomar_baixada_2026_joana_1-scaled.jpg,https://comidadibuteco.com.br/buteco/adegadega/,https://comidadibuteco.com.br/butecos/nova-iguacu-duque-de-caxias/,2026-05-02 12:22:54
Bar Cevina Lounge,"Rod. Washington Luiz, 2500 | Pq. Duque de Caxias, Duque de Caxias - RJ",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09054915/barcevinalounge_baudafelicidade_baixada_2026_joana_1-scaled.jpg,https://comidadibuteco.com.br/buteco/bar-cevina-lounge/,https://comidadibuteco.com.br/butecos/nova-iguacu-duque-de-caxias/,2026-05-02 12:22:54
Bar do Diretor,"R. Major Correia de Melo, 353 | Jardim Vinte e Cinco de Agosto, Duque de Caxias - RJ",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09054923/bardodiretor_sanduichedecarneloucacrocante_baixada_2026_joana_1-scaled.jpg,https://comidadibuteco.com.br/buteco/bar-do-diretor/,https://comidadibuteco.com.br/butecos/nova-iguacu-duque-de-caxias/,2026-05-02 12:22:54
Bar Parada 16,"R. Deputado Sá Rego, 289  | Vila São Luís, Duque de Caxias - RJ",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09054932/barparada16_sabordasaudade_baixada_2026_joana_1-scaled.jpg,https://comidadibuteco.com.br/buteco/bar-parada-16/,https://comidadibuteco.com.br/butecos/nova-iguacu-duque-de-caxias/,2026-05-02 12:22:54
Beer Soccer Club,"R. Passo da Pátria, 228 - Loja | Jardim Vinte e Cinco de Agosto, Duque de Caxias - RJ",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09055040/beersoccerclub_hat-trickdecamaraonacestinhacrocantes_baixada_2026_joana_1-scaled.jpg,https://comidadibuteco.com.br/buteco/beer-soccer-club/,https://comidadibuteco.com.br/butecos/nova-iguacu-duque-de-caxias/,2026-05-02 12:22:54
Bela Gastrobar,"Av. Presidente Lincoln, 263 | Jardim Meriti, São João de Meriti - RJ",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09055049/belagastrobar_belacrocancia_baixada_2026_joana_1-scaled.jpg,https://comidadibuteco.com.br/buteco/bela-gastrobar/,https://comidadibuteco.com.br/butecos/nova-iguacu-duque-de-caxias/,2026-05-02 12:22:54
Boteco Du nada,"Rua Caburi, 60 | Califórnia, Nova Iguaçu - RJ",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09055057/botecodunada_naquelamesacomseujoaquim_baixada_2026_joana_1-scaled.jpg,https://comidadibuteco.com.br/buteco/boteco-du-nada/,https://comidadibuteco.com.br/butecos/nova-iguacu-duque-de-caxias/,2026-05-02 12:22:54
Calçadas Grill,"R. Estudante Galdêncio Miguel, 530 | Centro, São João de Meriti - RJ",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09055105/calcadasgril_pirulitodebacalhau_baixada_2026_joana_1-scaled.jpg,https://comidadibuteco.com.br/buteco/calcadas-grill/,https://comidadibuteco.com.br/butecos/nova-iguacu-duque-de-caxias/,2026-05-02 12:22:54
Camarão da Lu,"R. Alberto Teixeira da Cunha, 1046  | Centro, Nilópolis - RJ",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09055113/camaraodalu_raizesdalu_baixada_2026_joana_1-scaled.jpg,https://comidadibuteco.com.br/buteco/camarao-da-lu/,https://comidadibuteco.com.br/butecos/nova-iguacu-duque-de-caxias/,2026-05-02 12:22:54
Chopperia do Baixinho,"Av. Automóvel Clube, 2697 | Vilar dos Teles, São João de Meriti - RJ",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09055222/chopperiadobaixinho_porconzola_baixada_2026_joana_1-scaled.jpg,https://comidadibuteco.com.br/buteco/chopperia-do-baixinho/,https://comidadibuteco.com.br/butecos/nova-iguacu-duque-de-caxias/,2026-05-02 12:22:54
Edinho do Caranguejo,"R. Humberto de Campos, 143  | Centro, Duque de Caxias - RJ",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09055230/edinhodocaranguejo_marealta_baixada_2026_joana_1-scaled.jpg,https://comidadibuteco.com.br/buteco/5874-revision-v1/,https://comidadibuteco.com.br/butecos/nova-iguacu-duque-de-caxias/,2026-05-02 12:22:54
