name,address,photo,details_url,page_src_url,extracted_at
Bar Compadres,"Av. Hércules Frison, 1433 - Jardim Paraiso, Poços de Caldas - MG, 37713-157",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09005527/barcompadres_quemancadadoscompadres_pocosdecaldas_2026_dreisonmedeiros-01.jpg,https://comidadibuteco.com.br/buteco/bar-compadres/,https://comidadibuteco.com.br/butecos/pocos-de-caldas/,2026-05-02 12:14:33
Bar da Elaine,"R. Caetés, 64 | Vila Togni, Poços de Caldas - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09005529/bardaelaine_contranafolha_pocosdecaldas_2026_dreisonmedeiros-01.jpg,https://comidadibuteco.com.br/buteco/3727-revision-v1/,https://comidadibuteco.com.br/butecos/pocos-de-caldas/,2026-05-02 12:14:33
Bar da Kombi,"R. Aníbal José dos Reis, 89 | Jardim Philadelphia, Poços de Caldas - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09005531/bardakombi_kombitalia_pocosdecaldas_2026_dreisonmedeiros-01.jpg,https://comidadibuteco.com.br/buteco/bar-da-kombi/,https://comidadibuteco.com.br/butecos/pocos-de-caldas/,2026-05-02 12:14:33
Bar do David,"Av. Leonor Furlaneto Delgado, 140 | Jardim Philadelphia, Poços de Caldas - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/13063922/bardodavid_tropeiraosafado_pocosdecaldas_2026_dreisonmedeiros-01.jpg,https://comidadibuteco.com.br/buteco/3518-revision-v1/,https://comidadibuteco.com.br/butecos/pocos-de-caldas/,2026-05-02 12:14:33
Bar Original,"Avenida Francisco Salles, 36 | Centro, Poços de Caldas - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09005634/baroriginal_sabordebuteco_pocosdecaldas_2026_dreisonmedeiros-01.jpg,https://comidadibuteco.com.br/buteco/3612-autosave-v1/,https://comidadibuteco.com.br/butecos/pocos-de-caldas/,2026-05-02 12:14:33
Birra Choperia,"R. Samuel Frazão, 5 | Jardim Amaryllis, Poços de Caldas - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09005636/birrachoperia_cestinidobirra_pocosdecaldas_2026_dreisonmedeiros-01.jpg,https://comidadibuteco.com.br/buteco/birra-choperia/,https://comidadibuteco.com.br/butecos/pocos-de-caldas/,2026-05-02 12:14:33
Black Jack Taphouse,"R. Mato Grosso, 393 | Centro, Poços de Caldas - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09005638/blackjacktaphouse_oraquetaco_pocosdecaldas_2026_dreisonmedeiros-01.jpg,https://comidadibuteco.com.br/buteco/black-jack-taphouse/,https://comidadibuteco.com.br/butecos/pocos-de-caldas/,2026-05-02 12:14:33
Boteco Breja,"Av. João Avelino de Melo, 285 | Conjunto Habitacional, Poços de Caldas - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09005640/botecobreja_brejabrococ_pocosdecaldas_2026_dreisonmedeiros-01.jpg,https://comidadibuteco.com.br/buteco/boteco-breja/,https://comidadibuteco.com.br/butecos/pocos-de-caldas/,2026-05-02 12:14:33
Boteco Cana Benta,"R. Camerino Nogueira da Silva, 15 | Parque Primavera, Poços de Caldas - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09005641/botecocanabenta_charutoderepolhocomcarneebacon_pocosdecaldas_2026_dreisonmedeiros-01.jpg,https://comidadibuteco.com.br/buteco/10210-revision-v1/,https://comidadibuteco.com.br/butecos/pocos-de-caldas/,2026-05-02 12:14:33
Boteco do Tio,"R. Nicarágua, 109 | Jardim Bela Vista, Poços de Caldas - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09005743/botecodotio_boicomqueijo_pocosdecaldas_2026_dreisonmedeiros-01.jpg,https://comidadibuteco.com.br/buteco/boteco-do-tio/,https://comidadibuteco.com.br/butecos/pocos-de-caldas/,2026-05-02 12:14:33
Budega da Esquina,"R. Justina Vieira de Oliveira, 320 | Santa Ângela, Poços de Caldas - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09005745/budegadaesquina_triobao_pocosdecaldas_2026_dreisonmedeiros-01.jpg,https://comidadibuteco.com.br/buteco/budega-da-esquina/,https://comidadibuteco.com.br/butecos/pocos-de-caldas/,2026-05-02 12:14:33
Buteco do Lucão,"Av. Jadir Vieira, 30 | Região Urbana Homogênea, Poços de Caldas - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09005746/butecodolucao_loucuranabaguete_pocosdecaldas_2026_dreisonmedeiros-01.jpg,https://comidadibuteco.com.br/buteco/buteco-do-lucao/,https://comidadibuteco.com.br/butecos/pocos-de-caldas/,2026-05-02 12:14:33
Buthekytha Bar,"R. Israel, 200 | Parque das Nações, Poços de Caldas - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09005748/buthekytabar_barkita_pocosdecaldas_2026_dreisonmedeiros-01.jpg,https://comidadibuteco.com.br/buteco/buthekytha-bar/,https://comidadibuteco.com.br/butecos/pocos-de-caldas/page/2/,2026-05-02 12:14:46
De Frente pro Futuro,"Rua da Saudade, 270 | Poços de Caldas - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09005750/defrenteparaofuturo_vulcaozinhodofinadocumpadejoao_pocosdecaldas_2026_dreisonmedeiros-01.jpg,https://comidadibuteco.com.br/buteco/de-frente-para-o-futuro/,https://comidadibuteco.com.br/butecos/pocos-de-caldas/page/2/,2026-05-02 12:14:46
Fabiano’s Bar,"R. Fanny de Carvalho Prata, 547 | Jardim São Paulo, Poços de Caldas - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09005851/fabianosbar_batatarecheadamineira_pocosdecaldas_2026_dreisonmedeiros-01.jpg,https://comidadibuteco.com.br/buteco/fabianos-bar/,https://comidadibuteco.com.br/butecos/pocos-de-caldas/page/2/,2026-05-02 12:14:46
Faisqueira,"R. Guaicurus, 532 | Vila Togni, Poços de Caldas - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09005853/faisqueira_catuporcocomcouve_pocosdecaldas_2026_dreisonmedeiros-01.jpg,https://comidadibuteco.com.br/buteco/faisqueira/,https://comidadibuteco.com.br/butecos/pocos-de-caldas/page/2/,2026-05-02 12:14:46
Pirata’s Snooker Bar,"Av. Magda Pinto Amarante, 132 | Jardim das Hortênsias, Poços de Caldas - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09005855/piratassnookerbar_segredodopopeye_pocosdecaldas_2026_dreisonmedeiros-01.jpg,https://comidadibuteco.com.br/buteco/piratas-snooker-bar-2/,https://comidadibuteco.com.br/butecos/pocos-de-caldas/page/2/,2026-05-02 12:14:46
