name,address,photo,details_url,page_src_url,extracted_at
A Virgem Bar,"R. Olavo Bilac, 251 | Azenha, Porto Alegre - RS",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09030534/avirgembar_bellavirgem_portoalegre_2026_israhramos_3.jpg,https://comidadibuteco.com.br/buteco/a-virgem-bar/,https://comidadibuteco.com.br/butecos/porto-alegre/,2026-05-02 12:15:42
Annalu Churras Pub,"R. Gomes de Freitas, 421 | Jardim Itu, Porto Alegre - RS",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09030535/annaluchurraspub_espetinhoporoebrasa_portoalegre_2026_israhramos_4.jpg,https://comidadibuteco.com.br/buteco/annalu-churras-pub/,https://comidadibuteco.com.br/butecos/porto-alegre/,2026-05-02 12:15:42
Arvo Bar,"R. Coronel Fernando Machado, 1200 | Centro, Porto Alegre - RS",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09030537/arvobar_omelhorsandubadomundo_portoalegre_2026_israhramos_1.jpg,https://comidadibuteco.com.br/buteco/arvo-bar/,https://comidadibuteco.com.br/butecos/porto-alegre/,2026-05-02 12:15:42
Bah Brasa,"Av. Dr. Sezefredo Azambuja Vieira, 2240 Canoas - RS, 92020-020",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09030538/bahbrasa_bolinhodobrasa_portoalegre_2026_israhramos_1.jpg,https://comidadibuteco.com.br/buteco/bah-brasa/,https://comidadibuteco.com.br/butecos/porto-alegre/,2026-05-02 12:15:42
Bar 44 Amarelinho,"Av. Assis Brasil, 171 | Santa Maria Gorete, Porto Alegre - RS",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09030639/baramarelinho44_charutinhosjalapenos_portoalegre_2026_israhramos_1.jpg,https://comidadibuteco.com.br/buteco/bar-44-amarelinho/,https://comidadibuteco.com.br/butecos/porto-alegre/,2026-05-02 12:15:42
Bar do Alemão,"R. Doutor Timóteo, 201 | Floresta, Porto Alegre - RS",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09030640/bardoalemao_bolinhodecouvedavovo_portoalegre_2026_israhramos_2.jpg,https://comidadibuteco.com.br/buteco/bar-do-alemao-3/,https://comidadibuteco.com.br/butecos/porto-alegre/,2026-05-02 12:15:42
Barril Pub,"Av. Wenceslau Escobar, 2997 | Cristal, Porto Alegre - RS",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09030641/barrilpub_brocolisnarede_portoalegre_2026_israhramos_2.jpg,https://comidadibuteco.com.br/buteco/9838-revision-v1/,https://comidadibuteco.com.br/butecos/porto-alegre/,2026-05-02 12:15:42
Beladora,"Avenida Guaíba, 10748 | Ipanema, Porto Alegre - RS",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09030643/beladora_espetinhobeladora_portoalegre_2026_israhramos_2.jpg,https://comidadibuteco.com.br/buteco/beladora/,https://comidadibuteco.com.br/butecos/porto-alegre/,2026-05-02 12:15:42
Boteco Vitória,"R. Felizardo, 445 | Jardim Botânico, Porto Alegre - RS",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09030644/botecovitoria_avacafoiprobrejo_portoalegre_2026_israhramos_3.jpg,https://comidadibuteco.com.br/buteco/boteco-vitoria/,https://comidadibuteco.com.br/butecos/porto-alegre/,2026-05-02 12:15:42
Buteco Petiscos,"R. Marechal Floriano Peixoto, 387 | Centro, Porto Alegre - RS",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09030745/butecopetiscos_bacalhaudopopeyecomtoquedeolivia_portoalegre_2026_israhramos_1.jpg,https://comidadibuteco.com.br/buteco/buteco-petiscos/,https://comidadibuteco.com.br/butecos/porto-alegre/,2026-05-02 12:15:42
