name,address,photo,details_url,page_src_url,extracted_at
A Bodega Cachaçaria,"Av. Gov. Carlos de Lima Cavalcante, 4035 - Casa | Casa Caiada, Olinda - PE",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09090446/a_bodega_cachacaria_raizes_da_bodega_recife_2026_frederico_lobo_01.jpg,https://comidadibuteco.com.br/buteco/a-bodega-cachacaria/,https://comidadibuteco.com.br/butecos/recife/,2026-05-02 12:17:43
Bar da Guarita,"Rua Lígia Gomes, 40, Olinda - PE",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09090449/bar_da_guarita_cabidela_da_vovo_recife_2026_frederico_lobo_01.jpg,https://comidadibuteco.com.br/buteco/bar-da-guarita/,https://comidadibuteco.com.br/butecos/recife/,2026-05-02 12:17:43
Bar do Cabo,"R. Nanuque, 37 | Brasília Teimosa, Recife - PE",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09090451/bar_do_cabo_do_mar_ao_sertao_recife_2026_frederico_lobo_02.jpg,https://comidadibuteco.com.br/buteco/4051-revision-v1/,https://comidadibuteco.com.br/butecos/recife/,2026-05-02 12:17:43
Bar do Lula,"R. Eng. Otávio Arantes, 0  | Imbiribeira, Recife - PE",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09090552/bar_do_lula_rabada_da_casa_recife_2026_frederico_lobo.jpg,https://comidadibuteco.com.br/buteco/bar-do-lula/,https://comidadibuteco.com.br/butecos/recife/,2026-05-02 12:17:43
Bar do Peixe,"Rua Albacora, 26 | Brasília Teimosa, Recife - PE",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2024/03/08121931/bar_do_peixe_camarao_teimoso_recife_2026_frederico_lobo_01.jpg,https://comidadibuteco.com.br/buteco/bar-do-peixe-5/,https://comidadibuteco.com.br/butecos/recife/,2026-05-02 12:17:43
Bar do Ró,"R. São João, 345 | Guadalupe, Olinda - PE",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09090555/bar_do_ro_rabada_nordestina_recife_2026_frederico_lobo_01.jpg,https://comidadibuteco.com.br/buteco/bar-do-ro/,https://comidadibuteco.com.br/butecos/recife/,2026-05-02 12:17:43
Bar do Vizinho,"Rua da Santa Cruz, 0  | Boa Vista, Recife - PE",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09090557/bar_do_vizinho_kumamda_da_terra_recife_2026_frederico_lobo_01.jpg,https://comidadibuteco.com.br/buteco/10360-revision-v1/,https://comidadibuteco.com.br/butecos/recife/,2026-05-02 12:17:43
Bar Rancho Fundo,"Rua Parary, 58 | Areias, Recife - PE",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09090558/bar_rancho_fundo_arrumadinho_do_rancho_recife_2026_frederico_lobo_01.jpg,https://comidadibuteco.com.br/buteco/bar-rancho-fundo/,https://comidadibuteco.com.br/butecos/recife/,2026-05-02 12:17:43
Barraca Beer,"R. Padre Lemos, 785 | Casa Amarela, Recife - PE",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09090659/barracabeer_rabada_raiz_recife_2026_frederico_lobo_01.jpg,https://comidadibuteco.com.br/buteco/barraca-beer/,https://comidadibuteco.com.br/butecos/recife/,2026-05-02 12:17:43
Barteco,"Rua Bom Pastor, 366 | Iputinga, Recife - PE",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09090701/barteco_frangorama_recife_2026_frederico_lobo_01.jpg,https://comidadibuteco.com.br/buteco/barteco/,https://comidadibuteco.com.br/butecos/recife/,2026-05-02 12:17:43
Belém,"R. Pedro Alves, 79 | Encruzilhada, Recife - PE",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09090703/belem_bar_nossa_terra_recife_2026_frederico_lobo_01.jpg,https://comidadibuteco.com.br/buteco/belem-2/,https://comidadibuteco.com.br/butecos/recife/,2026-05-02 12:17:43
Bistrô do Alto,"R. Altino, 76 | Casa Amarela, Recife - PE",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09090705/bistro_do_alto_coxinha_de_moqueca_recife_2026_frederico_lobo_02.jpg,https://comidadibuteco.com.br/buteco/bistro-do-alto/,https://comidadibuteco.com.br/butecos/recife/,2026-05-02 12:17:43
Bodega Bento Muniz,"R. Manoel Salvador, 140 - Casa | Barro, Recife - PE",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09090706/bodega_bento_muniz_rabada_do_chef_recife_2026_frederico_lobo_01.jpg,https://comidadibuteco.com.br/buteco/bodega-bento-muniz/,https://comidadibuteco.com.br/butecos/recife/page/2/,2026-05-02 12:17:57
Boteco da Pequena,"R. Agrestina, 5318 | Candeias, Jaboatão dos Guararapes - PE",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09090808/boteco_da_pequena_maxixada_praiana_recife_2026_frederico_lobo_01.jpg,https://comidadibuteco.com.br/buteco/4069-revision-v1/,https://comidadibuteco.com.br/butecos/recife/page/2/,2026-05-02 12:17:57
Boteco do Sivirino,"Rua Larga do Feitosa, 138 | Encruzilhada, Recife - PE",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09090810/boteco_sivirino_rabicho_crocante_recife_2026_frederico_lobo_01.jpg,https://comidadibuteco.com.br/buteco/boteco-do-sivirino/,https://comidadibuteco.com.br/butecos/recife/page/2/,2026-05-02 12:17:57
"Boteco Nem a Pau, Juvenal","Rua da Regeneração, 640 | Arruda, Recife - PE",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09090811/nem_a_pau_juvenal_porquinho_do_sol_recife_2026_frederico_lobo_01.jpg,https://comidadibuteco.com.br/buteco/boteco-nem-a-pau-juvenal-2/,https://comidadibuteco.com.br/butecos/recife/page/2/,2026-05-02 12:17:57
Caldinho da Sossó,"Rua Professor Otávio de Freitas, 400 | Encruzilhada, Recife - PE",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09090812/caldinho_da_sosso_tilapia_tropical_recife_2026_frederico_lobo_01.jpg,https://comidadibuteco.com.br/buteco/caldinho-da-sosso/,https://comidadibuteco.com.br/butecos/recife/page/2/,2026-05-02 12:17:57
Caldinho do Phellipe,"Av. Poeta Vinicius de Moraes, 140 | Ouro Preto, Olinda - PE",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09090814/caldinho_do_phelipe_lagrimas_de_alegria_recife_2026_frederico_lobo_01.jpg,https://comidadibuteco.com.br/buteco/10364-revision-v1/,https://comidadibuteco.com.br/butecos/recife/page/2/,2026-05-02 12:17:57
Cangaço Petiscaria,"R. Pianista Isnar Mariano, 12 | Imbiribeira, Recife - PE",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09090915/cangaco_petiscaria_mistura_fina_recife_2026_frederico_lobo_01.jpg,https://comidadibuteco.com.br/buteco/cangaco-petiscaria/,https://comidadibuteco.com.br/butecos/recife/page/2/,2026-05-02 12:17:57
Cantinho Sertanejo,"R. André de Albuquerque, 171 | Barro, Recife - PE",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09090917/cantinho_sertanejo_cupim_do_sertao_recife_2026_frederico_lobo_01.jpg,https://comidadibuteco.com.br/buteco/cantinho-sertanejo/,https://comidadibuteco.com.br/butecos/recife/page/2/,2026-05-02 12:17:57
Casa de Déia Petiscos,"R. José Nunes da Cunha, 4853  | Candeias, Jaboatão dos Guararapes - PE",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09090918/casa_de_deia_petiscos_porquinho_danado_recife_2026_frederico_lobo_01.jpg,https://comidadibuteco.com.br/buteco/casa-de-deia-petiscos/,https://comidadibuteco.com.br/butecos/recife/page/2/,2026-05-02 12:17:57
Casa de Mainha Comedoria,"R. Aurora Diniz Carneiro Leão, 5462 | Candeias, Recife - PE",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09090920/casa_de_mainha_comedoria_dadinho_de_mainha_recife_2026_frederico_lobo_01.jpg,https://comidadibuteco.com.br/buteco/casa-de-mainha-comedoria/,https://comidadibuteco.com.br/butecos/recife/page/2/,2026-05-02 12:17:57
Casa do Chico,"R. Aníbal Falcão, 9 | Graças, Recife - PE",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09090921/casa_de_chico_costela_arretada_recife_2026_frederico_lobo_01.jpg,https://comidadibuteco.com.br/buteco/casa-do-chico/,https://comidadibuteco.com.br/butecos/recife/page/2/,2026-05-02 12:17:57
Comida da Matuta,"Rua Amador Araújo, 207 | Barro, Recife - PE",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09091023/comida_da_matuta_bacalhau_arrumado_da_matuta_recife_2026_frederico_lobo_01.jpg,https://comidadibuteco.com.br/buteco/comida-da-matuta/,https://comidadibuteco.com.br/butecos/recife/page/2/,2026-05-02 12:17:57
Confraria do Jean,"Rua Sueli Luna Menelau, 628 | Imbiribeira, Recife - PE",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09091024/confraria_do_jean_meca_arretado_recife_2026_frederico_lobo_01.jpg,https://comidadibuteco.com.br/buteco/confraria-do-jean/,https://comidadibuteco.com.br/butecos/recife/page/3/,2026-05-02 12:18:10
Costelas e Galetos,"R. Odorico Mendes, 188 | Campo Grande, Recife - PE",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09091025/costelas_e_galetos_boteco26_recife_2026_frederico_lobo_02.jpg,https://comidadibuteco.com.br/buteco/costelas-e-galetos/,https://comidadibuteco.com.br/butecos/recife/page/3/,2026-05-02 12:18:10
Dirmantelo Bar,"Estrada das Ubaias, 241 | Casa Forte, Recife - PE",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09091027/dirmantelo_bar_trio_de_jah_recife_2026_frederico_lobo_01.jpg,https://comidadibuteco.com.br/buteco/dirmantelo-bar/,https://comidadibuteco.com.br/butecos/recife/page/3/,2026-05-02 12:18:10
Dobradinha do Regis,"R. Doutor Dirceu Velloso Toscano de Brito, 281 | Pina, Recife - PE",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09091029/dobradinha_do_regis_vem_ni_mim_toscana_recife_2026_frederico_lobo_01.jpg,https://comidadibuteco.com.br/buteco/dobradinha-do-regis/,https://comidadibuteco.com.br/butecos/recife/page/3/,2026-05-02 12:18:10
Dona Andrea,"Rua Aliança, 1083 | Apipucos, Recife - PE",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09091130/dona_andrea_caldeirada_de_boteco_recife_2026_frederico_lobo_01.jpg,https://comidadibuteco.com.br/buteco/dona-andrea/,https://comidadibuteco.com.br/butecos/recife/page/3/,2026-05-02 12:18:10
