name,address,photo,details_url,page_src_url,extracted_at
Allelos Bar,"R. Dr. Saraiba, 32 | Bonfim Paulista, Ribeirão Preto - SP",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09051634/allelosbar_bolinhotaniamara_ribeiraopreto_2026_renataprado1.jpg,https://comidadibuteco.com.br/buteco/allelos-bar/,https://comidadibuteco.com.br/butecos/ribeirao-preto/,2026-05-02 12:20:48
Bar A Toca,"R. Domingos Padovan, 1540 | Jardim Anhanguera, Ribeirão Preto - SP",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09051637/baratoca_tombeinobolinho_ribeiraopreto_2026_renataprado1.jpg,https://comidadibuteco.com.br/buteco/bar-a-toca/,https://comidadibuteco.com.br/butecos/ribeirao-preto/,2026-05-02 12:20:48
Bar da Dona Celina,"R. José Aissum, 125 | Parque dos Bandeirantes, Ribeirão Preto - SP",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09051639/bardadonacelina_berinjelasuprema_ribeiraopreto_2026_renataprado1.jpg,https://comidadibuteco.com.br/buteco/3565-revision-v1/,https://comidadibuteco.com.br/butecos/ribeirao-preto/,2026-05-02 12:20:48
Bar da Duque,"R. Duque de Caxias, 1211 | Centro, Ribeirão Preto - SP",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09051742/bardaduque_tesourodaduquesa_ribeiraopreto_2026_renataprado1.jpg,https://comidadibuteco.com.br/buteco/bar-da-duque/,https://comidadibuteco.com.br/butecos/ribeirao-preto/,2026-05-02 12:20:48
Bar da Patroa,"R. Professor Pedreira de Freitas, 564 | Parque Ribeirão Preto, Ribeirão Preto - SP",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09051747/bardapatroa_coxinhadefeijuka_ribeiraopreto_2026_renataprado1.jpg,https://comidadibuteco.com.br/buteco/bar-da-patroa/,https://comidadibuteco.com.br/butecos/ribeirao-preto/,2026-05-02 12:20:48
Bar do Gil,"Rua Franca, 432 | Jardim Paulista, Ribeirão Preto - SP",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09051749/bardogil_tiradelombo_ribeiraopreto_2026_renataprado1.jpg,https://comidadibuteco.com.br/buteco/3123-revision-v1/,https://comidadibuteco.com.br/butecos/ribeirao-preto/,2026-05-02 12:20:48
Bar do Jefferson,"R. Edgard Patrick, 20 | Jardim São José, Ribeirão Preto - SP",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09051752/bardojefferson_mammamia_ribeiraopreto_2026_renataprado4.jpg,https://comidadibuteco.com.br/buteco/bar-do-jefferson/,https://comidadibuteco.com.br/butecos/ribeirao-preto/,2026-05-02 12:20:48
Bar do Lê,"Rua Capitão Salomão, 1439 - Campos Elísios, Ribeirão Preto",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09051854/bardole_tulipinha_ribeiraopreto_2026_renataprado1.jpg,https://comidadibuteco.com.br/buteco/bar-do-le/,https://comidadibuteco.com.br/butecos/ribeirao-preto/,2026-05-02 12:20:48
Bar do Renato,"R. Contabilista Marcos Mendonça Coelho, 830 | Ribeirão Preto - SP",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/17104434/bardorenato_macacosmemordam_ribeiraopreto_2026_renataprado2.jpg.jpeg,https://comidadibuteco.com.br/buteco/bar-do-renato/,https://comidadibuteco.com.br/butecos/ribeirao-preto/,2026-05-02 12:20:48
Bar Dona Helena,"R. Guido Borsaro, 625 | Parque dos Bandeirantes, Ribeirão Preto - SP",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09051900/bardonahelena_altatensao_ribeiraopreto_2026_renataprado1.jpg,https://comidadibuteco.com.br/buteco/bar-dona-helena/,https://comidadibuteco.com.br/butecos/ribeirao-preto/,2026-05-02 12:20:48
Bar Empório Paulistano,"Rua Cesário Motta, 1469 | Jardim Paulistano, Ribeirão Preto - SP",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09051903/baremporiopaulistano_espetindopopeye_ribeiraopreto_2026_renataprado2.jpg,https://comidadibuteco.com.br/buteco/bar-emporio-paulistano/,https://comidadibuteco.com.br/butecos/ribeirao-preto/,2026-05-02 12:20:48
