name,address,photo,details_url,page_src_url,extracted_at
A Juriti,"R. Amarante, 31 | Cambuci, São Paulo - SP",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09100754/ajuriti_oclassicojuritiflamejante_saopaulo_2026_dreisonmedeiros-01.jpg,https://comidadibuteco.com.br/buteco/a-juriti/,https://comidadibuteco.com.br/butecos/sao-paulo/,2026-05-02 12:38:36
A Ribeira,"Al. Ribeiro da Silva, 909 | Campos Elíseos, São Paulo - SP",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09100756/aribeira_tartaramodaribeira_saopaulo_2026_dreisonmedeiros-01.jpg,https://comidadibuteco.com.br/buteco/a-ribeira/,https://comidadibuteco.com.br/butecos/sao-paulo/,2026-05-02 12:38:36
Acarajé e Delícias da Bahia,"R. Arcipreste Ezequias, 116 | Vila São José, São Paulo - SP",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09100758/acarajeedeliciasdabahia_pegatrouxa_saopaulo_2026_dreisonmedeiros-01.jpg,https://comidadibuteco.com.br/buteco/acaraje-e-delicias-da-bahia/,https://comidadibuteco.com.br/butecos/sao-paulo/,2026-05-02 12:38:36
Almirante Bar e Restaurante,"R. Agostinho Gomes, 2785 | Ipiranga, São Paulo - SP",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09100759/almirantebarerestaurante_queijonomato_saopaulo_2026_dreisonmedeiros-01.jpg,https://comidadibuteco.com.br/buteco/almirante-bar-e-restaurante/,https://comidadibuteco.com.br/butecos/sao-paulo/,2026-05-02 12:38:36
Alquimia Restaurante,"R. Bom Pastor, 1861 | Ipiranga, São Paulo - SP",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09100901/alquimiarestaurante_explosaodesabores_saopaulo_2026_dreisonmedeiros-01.jpg,https://comidadibuteco.com.br/buteco/alquimia-restaurante/,https://comidadibuteco.com.br/butecos/sao-paulo/,2026-05-02 12:38:36
Altino Deck Bar,"R. Doutor José Augusto de Oliveira, 1 | Presidente Altino, Osasco - SP",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09100903/altinodeckbar_derretequeeverde_saopaulo_2026_dreisonmedeiros-01.jpg,https://comidadibuteco.com.br/buteco/altino-deck-bar/,https://comidadibuteco.com.br/butecos/sao-paulo/,2026-05-02 12:38:36
Armazém Mandacaru,"R. Dona Antônia de Queiroz, 5 | Consolação, São Paulo - SP",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09100906/armazemmandacaru_cumbucadahora_saopaulo_2026_dreisonmedeiros-01.jpg,https://comidadibuteco.com.br/buteco/armazem-mandacaru/,https://comidadibuteco.com.br/butecos/sao-paulo/,2026-05-02 12:38:36
Balcão 304,"R. Pitangueiras, 304 | Mirandópolis, São Paulo - SP",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09100908/balcao304_mariscosdefloripacomalhoporoaovinagreteeazeitederucula_saopaulo_2026_dreisonmedeiros-01.jpg,https://comidadibuteco.com.br/buteco/balcao-304/,https://comidadibuteco.com.br/butecos/sao-paulo/,2026-05-02 12:38:36
Bambuteco,"Av. Corifeu de Azevedo Marques, 1560 | Butantã, São Paulo - SP",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09101010/bambuteco_bambuquiche_saopaulo_2026_dreisonmedeiros-01.jpg,https://comidadibuteco.com.br/buteco/bambuteco/,https://comidadibuteco.com.br/butecos/sao-paulo/,2026-05-02 12:38:36
Bar & Espetaria Pai Berto,"R. Emília Marengo, 1374 | Vila Regente Feijó, São Paulo - SP",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09101011/bareespetariapaiberto_rissolesdopaiberto_saopaulo_2026_dreisonmedeiros-01.jpg,https://comidadibuteco.com.br/buteco/bar-espetaria-pai-berto/,https://comidadibuteco.com.br/butecos/sao-paulo/,2026-05-02 12:38:36
Bar Altas Horas,"Rua do Oratório, 1632 | Mooca, São Paulo - SP",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09101013/baraltashoras_quichesaboroso_saopaulo_2026_dreisonmedeiros-01.jpg,https://comidadibuteco.com.br/buteco/bar-altas-horas/,https://comidadibuteco.com.br/butecos/sao-paulo/,2026-05-02 12:38:36
Bar Amigo Giannotti,"Rua Santo Antônio, 1106 | Bela Vista, São Paulo - SP",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09101014/baramigogiannotti_bracholasgiannotti_saopaulo_2026_dreisonmedeiros-01.jpg,https://comidadibuteco.com.br/buteco/3229-revision-v1/,https://comidadibuteco.com.br/butecos/sao-paulo/,2026-05-02 12:38:36
