name,address,photo,details_url,page_src_url,extracted_at
Armazém Simão Gastropub,"Rua Joaquim Modesto, 357 | Centro, Araguari - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09121344/armazemsimaogastropub_tapadosimao_araguari_2026_mauro_img_0008-scaled.jpg,https://comidadibuteco.com.br/buteco/armazem-simao-gastropub/,https://comidadibuteco.com.br/butecos/triangulo-mineiro/,2026-05-02 12:47:56
Banca do Peixe do Jaú,"Avenida Miguel Assad Debs, 1560 | Araguari - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09121350/bancadopeixedojau_medalhaodetilapiarecheado_araguari_2026_mauro_img_0008-scaled.jpg,https://comidadibuteco.com.br/buteco/banca-do-peixe-do-jau/,https://comidadibuteco.com.br/butecos/triangulo-mineiro/,2026-05-02 12:47:56
Bar do 1berto,"Rua do Dólar, 410 | Uberlândia - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09121357/bardo1berto_maiado1berto_uberlandia_2026_mauro_img_0004-scaled.jpg,https://comidadibuteco.com.br/buteco/bar-do-1berto/,https://comidadibuteco.com.br/butecos/triangulo-mineiro/,2026-05-02 12:47:56
Bar do Betão,"Av. João Pinheiro, 263 | Centro, Uberlândia - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09121404/bardobetao_trembaouai_uberlandia_2026_mauro_img_0007-scaled.jpg,https://comidadibuteco.com.br/buteco/3195-revision-v1/,https://comidadibuteco.com.br/butecos/triangulo-mineiro/,2026-05-02 12:47:56
Bar do Carlinho,"Rua Costa Pereira, 159 | Bom Jesus, Uberlândia - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09121546/bardocarlinho_bolinhodechucrute_uberlandia_2026_mauro_img_0007-scaled.jpg,https://comidadibuteco.com.br/buteco/3197-revision-v1/,https://comidadibuteco.com.br/butecos/triangulo-mineiro/,2026-05-02 12:47:56
Bar do Dudu,"Rua Rafael Rinaldi, 1595 | Uberlândia - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09121553/bardodudu_botequiche_uberlandia_2025_mauro_img_0008-scaled.jpg,https://comidadibuteco.com.br/buteco/3199-revision-v1/,https://comidadibuteco.com.br/butecos/triangulo-mineiro/,2026-05-02 12:47:56
Bar do Ricardinho,"Rua Tomé de Souza, 1338 | Uberlândia - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09121559/bardoricardinho_charutinhodosertao_uberlandia_2026_mauro_img_0004-scaled.jpg,https://comidadibuteco.com.br/buteco/bar-do-ricardinho/,https://comidadibuteco.com.br/butecos/triangulo-mineiro/,2026-05-02 12:47:56
Bar do Zé Gordo,"Av. Engenheiro Diniz, 1924 | Martins, Uberlândia - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09121607/bardozegordo_tilapiatropicaldozegordo_uberlandia_2026_mauro_img_0008-scaled.jpg,https://comidadibuteco.com.br/buteco/bar-do-ze-gordo/,https://comidadibuteco.com.br/butecos/triangulo-mineiro/,2026-05-02 12:47:56
Bar dos Morenos,"Rua Salvador, 555 | Nossa Sra. Aparecida, Uberlândia - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09121614/bardosmorenos_longanizasdeclillian_uberlandia_2026_mauro_img_0004-scaled.jpg,https://comidadibuteco.com.br/buteco/bar-do-morenos/,https://comidadibuteco.com.br/butecos/triangulo-mineiro/,2026-05-02 12:47:56
Bar Sorvetão,"R. Uruguaiana, 208 | Centro, Araguari - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09121721/barsorvetao_porocroc_araguari_2026_mauro_img_0008-scaled.jpg,https://comidadibuteco.com.br/buteco/bar-sorvetao/,https://comidadibuteco.com.br/butecos/triangulo-mineiro/,2026-05-02 12:47:56
Bar Xega Ki,"Avenida Amazonas, 920 | Brasil, Uberlândia - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09121728/barxegaaki_charutoarabe_uberlandia_2026_mauro_img_0008-scaled.jpg,https://comidadibuteco.com.br/buteco/bar-xega-ki/,https://comidadibuteco.com.br/butecos/triangulo-mineiro/,2026-05-02 12:47:56
Baroa Bar,"Alameda Uberaba, 200 | Santa Mônica, Uberlândia - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09121735/baroa_bolovodobaroa_uberlandia_2026_mauro_img_0008-scaled.jpg,https://comidadibuteco.com.br/buteco/baroa-bar/,https://comidadibuteco.com.br/butecos/triangulo-mineiro/,2026-05-02 12:47:56
Boteco Angara,"Av. Segismundo Pereira, 783 | Santa Mônica, Uberlândia - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09121742/botecoangara_porcodomato_araguari_2026_mauro_img_0008-scaled.jpg,https://comidadibuteco.com.br/buteco/boteco-angara/,https://comidadibuteco.com.br/butecos/triangulo-mineiro/page/2/,2026-05-02 12:48:11
Dedo de Prosa Bar,"Avenida Seme Simão, 1894 | Uberlândia - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09121749/dedodeprosabar_charutinhomineiro_uberlandia_2026_mauro_img_0008-scaled.jpg,https://comidadibuteco.com.br/buteco/dedo-de-prosa-bar/,https://comidadibuteco.com.br/butecos/triangulo-mineiro/page/2/,2026-05-02 12:48:11
Don Steak,"Av. Doutor Vicente Salles Guimarães, 525 | Alto Umuarama, Uberlândia - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09121855/donsteak_donbacon_uberlandia_2026_mauro_img_0008-scaled.jpg,https://comidadibuteco.com.br/buteco/don-steak/,https://comidadibuteco.com.br/butecos/triangulo-mineiro/page/2/,2026-05-02 12:48:11
Dona Antônia Raiz,"Av. Segismundo Pereira, 2343 | Uberlândia - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/17151255/bardonaantoniaraiz_medalhaodebananinhacomalhoporo_uberlandia_2026_mauro_img_0001.jpg-scaled.jpeg,https://comidadibuteco.com.br/buteco/dona-antonia-raiz/,https://comidadibuteco.com.br/butecos/triangulo-mineiro/page/2/,2026-05-02 12:48:11
Duque Bar,"R. Duque de Caxias, 1836 – Casa | Vila Saraiva, Uberlândia - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09121902/duquebar_filetdobuteco_uberlandia_2026_mauro_img_0008-scaled.jpg,https://comidadibuteco.com.br/buteco/duque-bar/,https://comidadibuteco.com.br/butecos/triangulo-mineiro/page/2/,2026-05-02 12:48:11
