name,address,photo,details_url,page_src_url,extracted_at
Bar do Luciano,"Av. Governador José de Magalhães Pinto, 1287 | Coronel Fabriciano - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09132702/bardoluciano_frangonahorta_valedoaco_2026_damillebarrosfotografia_2_1.jpg,https://comidadibuteco.com.br/buteco/bar-do-luciano/,https://comidadibuteco.com.br/butecos/vale-do-aco/,2026-05-02 12:49:18
Bar do Macário,"R. Teresópolis, 225 | Veneza, Ipatinga - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09132704/bardomacario_bolotatopzera_valedoaco_2026_damillebarrosfotografia_12_1.jpg,https://comidadibuteco.com.br/buteco/bar-do-macario/,https://comidadibuteco.com.br/butecos/vale-do-aco/,2026-05-02 12:49:18
Bar Galpão,"Av. José Fabrício Gomes, 213| Bethânia, Ipatinga - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09132705/bargalpao_asasindomaveis_valedoaco_2026_damillebarrosfotografia_14_1.jpg,https://comidadibuteco.com.br/buteco/bar-galpao-2/,https://comidadibuteco.com.br/butecos/vale-do-aco/,2026-05-02 12:49:18
Butiquim,"Rua Adriel Abílio Gonçalves, 126 | Veneza, Ipatinga - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09132806/butiquim_deliciasdaroca_valedoaco_2026_damillebarrosfotografia_5_1.jpg,https://comidadibuteco.com.br/buteco/butiquim/,https://comidadibuteco.com.br/butecos/vale-do-aco/,2026-05-02 12:49:18
Caladinho Bar,"Rua dos Bororós, 65 | Jardim Panorama, Ipatinga - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09132807/caladinhobar_nahortacomoboi_valedoaco_2026_damillebarrosfotografia_8_1.jpg,https://comidadibuteco.com.br/buteco/caladinho-bar/,https://comidadibuteco.com.br/butecos/vale-do-aco/,2026-05-02 12:49:18
Cultura e Malte,"Av. Paladium, 295 | Bom Retiro, Ipatinga - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09132808/culturaemalte_aporcafoiprahorta_valedoaco_2026_damillebarrosfotografia_7_1.jpg,https://comidadibuteco.com.br/buteco/cultura-e-malte/,https://comidadibuteco.com.br/butecos/vale-do-aco/,2026-05-02 12:49:18
Espetinho Grill,"Rua Itajaí, 320 |  Ipatinga - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09132809/espetinhogrill_moeladegala_valedoaco_2026_damillebarrosfotografia_11_1.jpg,https://comidadibuteco.com.br/buteco/espetinho-grill/,https://comidadibuteco.com.br/butecos/vale-do-aco/,2026-05-02 12:49:18
Nunes Bar,"Av. Londrina, 280 | Veneza, Ipatinga - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09132911/nunesbar_temfranguinhonapanela_valedoaco_2026_damillebarrosfotografia_15_1.jpg,https://comidadibuteco.com.br/buteco/nunes-bar/,https://comidadibuteco.com.br/butecos/vale-do-aco/,2026-05-02 12:49:18
Open Bar,"Rua Pedras Preciosas, 551 | Iguaçu, Ipatinga - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09132912/openbar_oqueluziaganhouatrasdacercadahorta_valedoaco_2026_damillebarrosfotografia_3_1.jpg,https://comidadibuteco.com.br/buteco/open-bar/,https://comidadibuteco.com.br/butecos/vale-do-aco/,2026-05-02 12:49:18
Pop’s Bar,"Rua Mário de Andrade, 346 | Cidade Nova, Santana do Paraíso - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09132913/popsbar_quadradinhodesabores_valedoaco_2026_damillebarrosfotografia_16_1.jpg,https://comidadibuteco.com.br/buteco/pops-bar/,https://comidadibuteco.com.br/butecos/vale-do-aco/,2026-05-02 12:49:18
Recanto da Picanha,"R. Dom Pedro II, 174 | Cidade Nobre, Ipatinga - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09132915/recantodapicanha_marmitagerais_valedoaco_2026_damillebarrosfotografia_18_1.jpg,https://comidadibuteco.com.br/buteco/10304-revision-v1/,https://comidadibuteco.com.br/butecos/vale-do-aco/,2026-05-02 12:49:18
Tulipas Bar,"Av. Felipe dos Santos, 30 - Cidade Nobre, Ipatinga - MG, 35162-369",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09132700/tulipasbar_rumoaohexa_valedoaco_2026_damillebarrosfotografia_6_1.jpg,https://comidadibuteco.com.br/buteco/3498-revision-v1/,https://comidadibuteco.com.br/butecos/vale-do-aco/,2026-05-02 12:49:18
Wave House,"Rua Dom Pedro II, 185 | Cidade Nobre, Ipatinga - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09133017/wavehouse_ahortasecreta_valedoaco_2026_damillebarrosfotografia_13_1.jpg,https://comidadibuteco.com.br/buteco/wave-house/,https://comidadibuteco.com.br/butecos/vale-do-aco/page/2/,2026-05-02 12:49:33
